Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,35,30,2690,29.9,17,10,27,17,0,0,6,0,12.3,12.3,8.0,20.3,225,123,485,0.57,0.33,0.90,0.57,0.90,0.41,0.27,0.68,0.41,0.68,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,33,32,2823,31.4,10,9,19,10,0,0,10,1,10.5,10.5,9.4,19.9,221,87,495,0.32,0.29,0.61,0.32,0.61,0.34,0.30,0.63,0.34,0.63,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137,57,277,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.80,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,15,13,1175,13.1,8,5,13,6,2,2,5,1,5.9,4.6,4.7,9.3,89,44,141,0.61,0.38,1.00,0.46,0.84,0.45,0.36,0.81,0.35,0.71,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,19,12,1019,11.3,2,0,2,2,0,0,0,0,2.3,2.3,1.1,3.4,55,36,132,0.18,0.00,0.18,0.18,0.18,0.20,0.10,0.30,0.20,0.30,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,22,10,983,10.9,1,6,7,1,0,0,0,0,2.0,2.0,3.7,5.6,45,28,99,0.09,0.55,0.64,0.09,0.64,0.18,0.34,0.52,0.18,0.52,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,33,17,1523,16.9,4,4,8,4,0,0,4,0,3.4,3.4,2.4,5.8,76,49,194,0.24,0.24,0.47,0.24,0.47,0.20,0.14,0.34,0.20,0.34,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,34,25,2379,26.4,9,8,17,8,1,1,4,0,13.7,12.9,7.0,19.9,146,81,268,0.34,0.30,0.64,0.30,0.61,0.52,0.26,0.78,0.49,0.75,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,34,28,2380,26.4,10,5,15,10,0,1,2,0,11.7,10.9,4.0,14.9,159,90,301,0.38,0.19,0.57,0.38,0.57,0.44,0.15,0.59,0.41,0.56,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,16,12,1044,11.6,5,3,8,5,0,0,0,0,2.2,2.1,1.2,3.2,52,53,123,0.43,0.26,0.69,0.43,0.69,0.19,0.10,0.29,0.18,0.28,Rodrygo,FW
