Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2024-2025,19,Real Madrid,es ESP,1. La Liga,1st,6.4,32,5.01,21,3,4,3,0,1,6,0.94,3,1,0,2,0,0,Arda Güler,"MF,FW"
2018-2019,15,Rennes,fr FRA,1. Ligue 1,10th,4.0,9,2.23,5,0,0,0,3,1,1,0.25,0,0,0,0,1,0,Eduardo Camavinga,"MF,DF"
2019-2020,16,Rennes,fr FRA,1. Ligue 1,3rd,23.4,37,1.58,27,0,3,0,7,0,8,0.34,6,0,2,0,0,0,Eduardo Camavinga,"MF,DF"
2020-2021,17,Rennes,fr FRA,1. Ligue 1,6th,26.7,55,2.06,40,0,3,3,8,1,5,0.19,2,0,0,2,1,0,Eduardo Camavinga,"MF,DF"
2021-2022,18,Rennes,fr FRA,1. Ligue 1,4th,1.6,4,2.52,3,0,0,0,1,0,1,0.63,1,0,0,0,0,0,Eduardo Camavinga,"MF,DF"
2021-2022,18,Real Madrid,es ESP,1. La Liga,1st,13.7,34,2.48,30,0,0,0,2,2,2,0.15,2,0,0,0,0,0,Eduardo Camavinga,"MF,DF"
2022-2023,19,Real Madrid,es ESP,1. La Liga,2nd,22.3,72,3.23,55,0,5,3,9,0,5,0.22,3,0,0,1,1,0,Eduardo Camavinga,"MF,DF"
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,20.2,58,2.87,45,0,3,1,4,5,6,0.30,5,0,1,0,0,0,Eduardo Camavinga,"MF,DF"
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,5.8,9,1.56,9,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Eduardo Camavinga,"MF,DF"
2013-2014,16,Betis,es ESP,1. La Liga,20th,0.1,,,,,,,,,,,,,,,,,Dani Ceballos,MF
