Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,6.8,0,0,0,7,15,0,5,2,11,0,0,0,26,1,8,11.1,Brahim Díaz,"FW,MF"
2021-2022,16,Fenerbahçe,tr TUR,1. Süper Lig,2nd,3.2,0,0,0,4,11,2,14,4,6,,,0,,,,,Arda Güler,"MF,FW"
2022-2023,17,Fenerbahçe,tr TUR,1. Süper Lig,2nd,10.1,1,0,0,11,28,2,77,2,20,,,0,,,,,Arda Güler,"MF,FW"
2023-2024,18,Real Madrid,es ESP,1. La Liga,1st,4.2,1,0,0,11,8,1,13,2,4,1,0,0,21,0,0,,Arda Güler,"MF,FW"
2024-2025,19,Real Madrid,es ESP,1. La Liga,1st,6.4,1,0,0,8,20,3,15,3,6,0,0,0,26,5,6,45.5,Arda Güler,"MF,FW"
2018-2019,15,Rennes,fr FRA,1. Ligue 1,10th,4.0,1,0,0,9,11,0,0,4,15,0,0,0,25,4,2,66.7,Eduardo Camavinga,"MF,DF"
2019-2020,16,Rennes,fr FRA,1. Ligue 1,3rd,23.4,4,0,0,48,59,0,1,34,64,0,0,0,147,31,35,47.0,Eduardo Camavinga,"MF,DF"
2020-2021,17,Rennes,fr FRA,1. Ligue 1,6th,26.7,6,0,0,55,53,0,4,23,58,0,0,0,162,19,26,42.2,Eduardo Camavinga,"MF,DF"
2021-2022,18,Rennes,fr FRA,1. Ligue 1,4th,1.6,0,0,0,2,6,0,0,1,1,0,0,0,8,2,0,100.0,Eduardo Camavinga,"MF,DF"
2021-2022,18,Real Madrid,es ESP,1. La Liga,1st,13.7,8,0,0,35,29,1,3,17,35,0,0,0,85,28,13,68.3,Eduardo Camavinga,"MF,DF"
2022-2023,19,Real Madrid,es ESP,1. La Liga,2nd,22.3,6,0,0,39,69,3,6,17,48,0,0,0,136,22,11,66.7,Eduardo Camavinga,"MF,DF"
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,20.2,9,0,0,49,68,1,4,29,47,0,1,0,146,18,17,51.4,Eduardo Camavinga,"MF,DF"
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,5.8,0,0,0,10,15,1,0,8,13,0,0,0,42,5,3,62.5,Eduardo Camavinga,"MF,DF"
2013-2014,16,Betis,es ESP,1. La Liga,20th,0.1,0,0,,0,,,,,,,,,,,,,Dani Ceballos,MF
2014-2015,17,Betis,es ESP,2. La Liga 2,1st,25.3,4,0,,,,,,,,,,,,,,,Dani Ceballos,MF
