Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2018-2019,19,Villarreal,es ESP,1. La Liga,14th,19.0,62,3.27,39,1,11,7,4,0,7,0.37,3,0,3,1,0,0,Samuel Chukwueze,FW
2019-2020,20,Villarreal,es ESP,1. La Liga,5th,22.8,105,4.62,70,0,16,3,13,3,12,0.53,5,0,3,1,3,0,Samuel Chukwueze,FW
2020-2021,21,Villarreal,es ESP,1. La Liga,7th,15.2,65,4.28,45,1,8,2,9,0,5,0.33,3,0,1,0,1,0,Samuel Chukwueze,FW
2021-2022,22,Villarreal,es ESP,1. La Liga,7th,14.8,51,3.44,37,0,10,2,2,0,7,0.47,3,0,2,2,0,0,Samuel Chukwueze,FW
2022-2023,23,Villarreal,es ESP,1. La Liga,5th,26.0,110,4.23,75,4,24,2,4,1,15,0.58,9,0,5,0,1,0,Samuel Chukwueze,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,11.3,48,4.25,32,0,9,5,2,0,7,0.62,5,0,1,1,0,0,Samuel Chukwueze,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,8.2,38,4.65,29,1,5,2,1,0,0,0.00,0,0,0,0,0,0,Samuel Chukwueze,FW
2018-2019,17,Partizan,rs SRB,1. SuperLiga,3rd,11.0,,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2019-2020,18,Partizan,rs SRB,1. SuperLiga,2nd,25.6,,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2020-2021,19,Cercle Brugge,be BEL,1. First Division A,16th,10.7,12,1.12,7,0,2,1,1,1,1,0.09,0,0,0,0,1,0,Strahinja Pavlović,DF
2020-2021,19,Monaco,fr FRA,1. Ligue 1,3rd,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Strahinja Pavlović,DF
2021-2022,20,Monaco,fr FRA,1. Ligue 1,3rd,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Strahinja Pavlović,DF
2021-2022,20,Basel,ch SUI,1. Super Lg,2nd,6.5,,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2022-2023,21,RB Salzburg,at AUT,1. Bundesliga,1st,22.5,,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,2nd,25.4,,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2024-2025,23,Milan,it ITA,1. Serie A,8th,7.3,8,1.10,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Strahinja Pavlović,DF
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1.5,,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2015-2016,19,Chelsea,eng ENG,1. Premier League,10th,4.6,,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
