Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2018-2019,20,Aston Villa,eng ENG,2. Championship,5th,34.9,17,6,2,13,2,3,11,27.3,8,27,7,20,8,25,39,0,Tammy Abraham,FW
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,24.6,8,4,2,5,1,3,14,21.4,11,20,2,18,6,14,27,0,Tammy Abraham,FW
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,Tammy Abraham,FW
2021-2022,23,Roma,it ITA,1. Serie A,6th,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,Tammy Abraham,FW
2022-2023,24,Roma,it ITA,1. Serie A,6th,24.3,17,10,4,8,5,3,16,18.8,13,10,4,6,3,20,14,0,Tammy Abraham,FW
2023-2024,25,Roma,it ITA,1. Serie A,6th,2.7,3,1,0,1,2,0,0,,0,1,0,1,0,3,4,0,Tammy Abraham,FW
2024-2025,26,Roma,it ITA,1. Serie A,10th,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Tammy Abraham,FW
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.3,6,3,0,5,1,1,2,50.0,1,5,0,5,2,8,4,0,Tammy Abraham,FW
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.3,,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2016-2017,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,11.6,,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2016-2017,18,Brighton,eng ENG,2. Championship,2nd,4.4,,0,,,,,,,,,,,0,,,,Fikayo Tomori,DF
2017-2018,19,Hull City,eng ENG,2. Championship,18th,22.9,,43,,,,,,,,,,,31,,,,Fikayo Tomori,DF
2018-2019,20,Derby County,eng ENG,2. Championship,6th,42.1,96,56,63,31,2,34,54,63.0,20,55,37,18,68,164,184,4,Fikayo Tomori,DF
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,14.3,29,16,21,8,0,10,15,66.7,5,13,7,6,22,51,48,2,Fikayo Tomori,DF
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,0.5,2,1,2,0,0,0,0,,0,1,1,0,2,4,8,0,Fikayo Tomori,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,16.3,28,18,17,9,2,8,14,57.1,6,32,20,12,18,46,61,1,Fikayo Tomori,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.2,73,44,36,34,3,18,26,69.2,8,37,23,14,45,118,84,1,Fikayo Tomori,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.7,70,34,44,25,1,22,34,64.7,12,46,25,21,29,99,88,1,Fikayo Tomori,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,23.6,42,24,29,10,3,18,29,62.1,11,34,23,11,26,68,75,1,Fikayo Tomori,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.2,8,7,5,2,1,3,7,42.9,4,7,5,2,7,15,19,0,Fikayo Tomori,DF
2021-2022,18,Hellas Verona,it ITA,1. Serie A,9th,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Filippo Terracciano,"DF,MF"
2022-2023,19,Hellas Verona,it ITA,1. Serie A,18th,9.1,20,13,11,7,2,15,20,75.0,5,7,4,3,10,30,14,0,Filippo Terracciano,"DF,MF"
2023-2024,20,Hellas Verona,it ITA,1. Serie A,13th,14.4,30,19,23,6,1,17,31,54.8,14,24,6,18,20,50,17,0,Filippo Terracciano,"DF,MF"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,0.8,2,2,1,1,0,1,3,33.3,2,3,0,3,0,2,1,0,Filippo Terracciano,"DF,MF"
2024-2025,21,Milan,it ITA,1. Serie A,8th,5.5,6,3,1,3,2,3,6,50.0,3,0,0,0,5,11,8,0,Filippo Terracciano,"DF,MF"
2020-2021,17,Valencia,es ESP,1. La Liga,13th,17.0,21,18,12,3,6,8,24,33.3,16,20,0,20,15,36,12,1,Yunus Musah,"MF,FW"
