Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,21.1,4,0,0,39,56,26,4,0,11,0,0,0,57,53,38,58.2,Álvaro Morata,"FW,MF"
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,4th,21.2,4,1,1,33,35,33,10,1,10,2,0,0,54,44,32,57.9,Álvaro Morata,"FW,MF"
2024-2025,31,Milan,it ITA,1. Serie A,8th,10.1,4,0,0,23,16,7,8,5,6,0,0,0,27,12,18,40.0,Álvaro Morata,"FW,MF"
2019-2020,19,Milan,it ITA,1. Serie A,6th,7.6,1,0,0,11,3,0,0,9,5,0,1,0,40,23,8,74.2,Matteo Gabbia,DF
2020-2021,20,Milan,it ITA,1. Serie A,2nd,6.2,2,0,0,5,5,0,0,3,5,0,0,0,33,17,10,63.0,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,6.0,3,0,0,7,2,0,0,8,3,0,0,0,25,13,8,61.9,Matteo Gabbia,DF
2022-2023,22,Milan,it ITA,1. Serie A,4th,6.8,2,0,0,8,1,0,2,5,10,0,0,0,37,15,4,78.9,Matteo Gabbia,DF
2023-2024,23,Villarreal,es ESP,1. La Liga,8th,5.3,2,0,0,9,3,0,0,8,6,0,0,0,20,17,5,77.3,Matteo Gabbia,DF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,14.2,5,0,0,27,8,0,0,10,20,0,0,0,62,35,18,66.0,Matteo Gabbia,DF
2024-2025,24,Milan,it ITA,1. Serie A,8th,9.7,3,0,0,7,2,0,2,7,5,1,0,0,22,23,12,65.7,Matteo Gabbia,DF
2018-2019,19,Villarreal,es ESP,1. La Liga,14th,19.0,2,0,0,20,20,19,24,10,11,0,0,0,102,15,29,34.1,Samuel Chukwueze,FW
2019-2020,20,Villarreal,es ESP,1. La Liga,5th,22.8,2,0,0,16,50,12,34,10,14,2,0,0,126,13,27,32.5,Samuel Chukwueze,FW
2020-2021,21,Villarreal,es ESP,1. La Liga,7th,15.2,0,0,0,13,30,16,26,10,7,1,0,0,65,10,12,45.5,Samuel Chukwueze,FW
2021-2022,22,Villarreal,es ESP,1. La Liga,7th,14.8,4,0,0,11,16,12,16,5,9,0,0,0,57,7,18,28.0,Samuel Chukwueze,FW
2022-2023,23,Villarreal,es ESP,1. La Liga,5th,26.0,1,0,0,19,34,11,28,12,7,1,0,0,110,14,20,41.2,Samuel Chukwueze,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,11.3,1,0,0,7,12,7,20,6,7,0,0,0,59,9,17,34.6,Samuel Chukwueze,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,8.2,0,0,0,2,9,3,40,0,5,0,0,0,30,3,7,30.0,Samuel Chukwueze,FW
2018-2019,17,Partizan,rs SRB,1. SuperLiga,3rd,11.0,5,1,1,,,,,,,,,0,,,,,Strahinja Pavlović,DF
2019-2020,18,Partizan,rs SRB,1. SuperLiga,2nd,25.6,4,0,0,,,,,,,,,0,,,,,Strahinja Pavlović,DF
2020-2021,19,Cercle Brugge,be BEL,1. First Division A,16th,10.7,3,0,0,14,5,0,2,18,20,1,0,0,51,26,14,65.0,Strahinja Pavlović,DF
2020-2021,19,Monaco,fr FRA,1. Ligue 1,3rd,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Strahinja Pavlović,DF
2021-2022,20,Monaco,fr FRA,1. Ligue 1,3rd,5.0,4,1,1,11,7,0,5,9,16,0,2,0,34,18,10,64.3,Strahinja Pavlović,DF
2021-2022,20,Basel,ch SUI,1. Super Lg,2nd,6.5,3,0,0,9,10,0,2,18,7,,,0,,,,,Strahinja Pavlović,DF
2022-2023,21,RB Salzburg,at AUT,1. Bundesliga,1st,22.5,10,1,1,32,29,0,4,48,34,,,0,,,,,Strahinja Pavlović,DF
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,2nd,25.4,10,1,0,40,33,1,15,49,42,,,0,,,,,Strahinja Pavlović,DF
2024-2025,23,Milan,it ITA,1. Serie A,8th,7.3,1,0,0,4,5,0,0,4,10,0,0,0,29,14,8,63.6,Strahinja Pavlović,DF
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1.5,0,0,,3,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2015-2016,19,Chelsea,eng ENG,1. Premier League,10th,4.6,0,0,,4,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2016-2017,20,Chelsea,eng ENG,1. Premier League,1st,0.4,0,0,0,2,0,0,0,0,0,0,0,0,,,,,Ruben Loftus-Cheek,MF
2017-2018,21,Crystal Palace,eng ENG,1. Premier League,11th,20.8,1,0,0,17,62,3,12,22,15,1,0,0,130,32,55,36.8,Ruben Loftus-Cheek,MF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,11.1,0,0,0,10,23,2,2,11,12,0,0,0,74,21,20,51.2,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.0,0,0,0,,,,,,,,,0,,,,,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,2.3,0,0,0,2,3,0,1,2,0,0,0,0,13,2,3,40.0,Ruben Loftus-Cheek,MF
2020-2021,24,Fulham,eng ENG,1. Premier League,18th,21.2,3,0,0,28,51,3,9,7,14,1,0,0,100,44,74,37.3,Ruben Loftus-Cheek,MF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,0.7,0,0,0,1,2,0,0,0,0,0,0,0,4,1,5,16.7,Ruben Loftus-Cheek,MF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,15.5,1,0,0,18,41,2,7,11,10,0,0,0,109,36,18,66.7,Ruben Loftus-Cheek,MF
2022-2023,26,Chelsea,eng ENG,1. Premier League,12th,17.1,1,0,0,10,34,1,19,12,14,0,0,1,101,22,26,45.8,Ruben Loftus-Cheek,MF
2023-2024,27,Milan,it ITA,1. Serie A,2nd,23.0,5,0,0,39,45,1,13,9,18,1,0,0,91,43,31,58.1,Ruben Loftus-Cheek,MF
2024-2025,28,Milan,it ITA,1. Serie A,8th,7.6,1,0,0,13,19,0,5,2,6,0,0,0,26,11,7,61.1,Ruben Loftus-Cheek,MF
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.6,0,0,,2,,,,,,,,,,,,,Tammy Abraham,FW
2016-2017,18,Bristol City,eng ENG,2. Championship,17th,37.9,3,0,0,45,0,0,0,0,0,0,0,0,,,,,Tammy Abraham,FW
2017-2018,19,Swansea City,eng ENG,1. Premier League,18th,19.2,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2,Tammy Abraham,FW
2018-2019,20,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,1.0,0,0,0,,,,,,,,,0,,,,,Tammy Abraham,FW
2018-2019,20,Aston Villa,eng ENG,2. Championship,5th,34.9,3,0,0,30,56,15,18,8,6,1,0,0,55,105,158,39.9,Tammy Abraham,FW
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,24.6,2,0,0,17,24,23,11,6,4,1,0,1,49,89,113,44.1,Tammy Abraham,FW
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,11.6,0,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6,Tammy Abraham,FW
2021-2022,23,Roma,it ITA,1. Serie A,6th,34.3,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4,Tammy Abraham,FW
2022-2023,24,Roma,it ITA,1. Serie A,6th,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9,Tammy Abraham,FW
2023-2024,25,Roma,it ITA,1. Serie A,6th,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,Tammy Abraham,FW
2024-2025,26,Roma,it ITA,1. Serie A,10th,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Tammy Abraham,FW
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.3,0,0,0,11,3,1,2,2,3,1,0,0,5,12,14,46.2,Tammy Abraham,FW
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.3,0,0,,0,,,,,,,,,,,,,Fikayo Tomori,DF
2016-2017,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,11.6,1,0,0,,,,,,,,,0,,,,,Fikayo Tomori,DF
2016-2017,18,Brighton,eng ENG,2. Championship,2nd,4.4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,Fikayo Tomori,DF
2017-2018,19,Hull City,eng ENG,2. Championship,18th,22.9,3,0,0,27,12,3,44,31,43,0,0,0,,,,,Fikayo Tomori,DF
2018-2019,20,Derby County,eng ENG,2. Championship,6th,42.1,6,0,0,30,27,2,6,68,56,0,0,1,235,123,96,56.2,Fikayo Tomori,DF
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,14.3,3,0,0,7,6,1,4,22,16,0,0,0,95,34,28,54.8,Fikayo Tomori,DF
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,0.5,0,0,0,1,0,0,0,2,1,0,0,0,5,0,0,,Fikayo Tomori,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,16.3,0,0,0,14,1,0,1,18,18,0,0,0,99,30,26,53.6,Fikayo Tomori,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.2,4,0,0,19,11,0,3,45,44,0,0,0,183,51,48,51.5,Fikayo Tomori,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.7,5,0,0,28,25,1,6,29,34,0,1,0,190,62,30,67.4,Fikayo Tomori,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,23.6,8,1,1,26,9,1,3,26,24,0,1,0,105,29,26,52.7,Fikayo Tomori,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.2,1,0,0,2,2,0,1,7,7,0,0,0,17,15,11,57.7,Fikayo Tomori,DF
2021-2022,18,Hellas Verona,it ITA,1. Serie A,9th,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Filippo Terracciano,"DF,MF"
2022-2023,19,Hellas Verona,it ITA,1. Serie A,18th,9.1,2,0,0,7,17,0,25,10,13,0,0,0,47,15,20,42.9,Filippo Terracciano,"DF,MF"
2023-2024,20,Hellas Verona,it ITA,1. Serie A,13th,14.4,1,0,0,15,32,0,59,20,19,0,0,0,74,19,18,51.4,Filippo Terracciano,"DF,MF"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,0.8,1,0,0,3,1,0,0,0,2,0,1,0,6,0,0,,Filippo Terracciano,"DF,MF"
2024-2025,21,Milan,it ITA,1. Serie A,8th,5.5,2,0,0,8,8,1,3,5,3,0,0,0,18,7,5,58.3,Filippo Terracciano,"DF,MF"
2020-2021,17,Valencia,es ESP,1. La Liga,13th,17.0,2,0,0,20,29,3,16,15,18,0,0,0,80,20,20,50.0,Yunus Musah,"MF,FW"
2021-2022,18,Valencia,es ESP,1. La Liga,9th,14.0,5,0,0,24,16,0,29,14,13,0,1,0,50,16,21,43.2,Yunus Musah,"MF,FW"
2022-2023,19,Valencia,es ESP,1. La Liga,16th,23.4,10,1,0,42,42,3,40,11,35,0,0,0,97,28,36,43.8,Yunus Musah,"MF,FW"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,16.4,5,0,0,22,21,2,28,10,14,0,0,0,74,14,18,43.8,Yunus Musah,"MF,FW"
2024-2025,21,Milan,it ITA,1. Serie A,8th,6.0,1,0,0,13,5,0,12,4,10,0,0,0,23,1,4,20.0,Yunus Musah,"MF,FW"
2018-2019,18,Basel,ch SUI,1. Super Lg,2nd,16.3,4,0,0,,,,,,,,,0,,,,,Noah Okafor,FW
2019-2020,19,Basel,ch SUI,1. Super Lg,3rd,7.0,1,0,0,4,5,0,20,1,7,,,0,,,,,Noah Okafor,FW
2019-2020,19,RB Salzburg,at AUT,1. Bundesliga,1st,5.2,0,0,0,9,8,1,12,1,4,,,0,,,,,Noah Okafor,FW
2020-2021,20,RB Salzburg,at AUT,1. Bundesliga,1st,9.9,3,0,0,19,10,2,22,7,10,,,0,,,,,Noah Okafor,FW
2021-2022,21,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,1,0,0,9,12,6,26,1,8,,,0,,,,,Noah Okafor,FW
2022-2023,22,RB Salzburg,at AUT,1. Bundesliga,1st,11.1,2,0,0,13,11,5,34,2,2,,,0,,,,,Noah Okafor,FW
2023-2024,23,Milan,it ITA,1. Serie A,2nd,9.9,1,0,0,12,9,2,22,0,4,0,0,0,27,7,13,35.0,Noah Okafor,FW
2024-2025,24,Milan,it ITA,1. Serie A,8th,4.6,0,0,0,6,5,1,13,2,1,0,0,0,8,2,5,28.6,Noah Okafor,FW
2023-2024,18,Milan,it ITA,1. Serie A,2nd,0.8,1,0,0,2,1,0,1,0,1,0,0,0,2,0,0,,Alejandro Jiménez,"DF,FW"
