Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2020-2021,19,Monaco,fr FRA,1. Ligue 1,3rd,0.0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Strahinja Pavlović,DF
2021-2022,20,Monaco,fr FRA,1. Ligue 1,3rd,5.0,399,388,9,8,0,3,5,1,0,0,0,0,330,2,4,Strahinja Pavlović,DF
2021-2022,20,Basel,ch SUI,1. Super Lg,2nd,6.5,,,,,,,2,,,,,,,,,Strahinja Pavlović,DF
2022-2023,21,RB Salzburg,at AUT,1. Bundesliga,1st,22.5,,,,,,,4,,,,,,,,,Strahinja Pavlović,DF
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,2nd,25.4,,,,,,,15,,,,,,,,,Strahinja Pavlović,DF
2024-2025,23,Milan,it ITA,1. Serie A,8th,7.3,515,479,35,17,0,0,0,2,0,0,0,0,462,1,4,Strahinja Pavlović,DF
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1.5,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2015-2016,19,Chelsea,eng ENG,1. Premier League,10th,4.6,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2016-2017,20,Chelsea,eng ENG,1. Premier League,1st,0.4,,,,,,,0,,,,,,,,,Ruben Loftus-Cheek,MF
2017-2018,21,Crystal Palace,eng ENG,1. Premier League,11th,20.8,745,725,14,2,1,3,12,4,0,0,0,0,603,6,24,Ruben Loftus-Cheek,MF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,11.1,616,592,23,4,2,1,2,3,2,0,0,0,539,1,13,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.0,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,2.3,133,129,4,3,1,2,1,0,1,0,0,0,119,0,0,Ruben Loftus-Cheek,MF
