Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Player
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches,Marc Casado
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,11.4,28,16,5,17,6,10,20,50.0,10,16,5,11,11,39,15,0,Matches,Marc Casado
3 Seasons,3 Seasons,1 Club,,1 League,,11.5,29,17,6,17,6,11,21,52.4,10,16,5,11,12,41,17,0,,Marc Casado
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,,0,,,,,,,,,,,0,,,,Matches,Iñaki Peña
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches,Iñaki Peña
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches,Iñaki Peña
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,11.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,16,1,Matches,Iñaki Peña
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,28.3,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,21,3,,Iñaki Peña
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Iñaki Peña
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,22.3,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,21,3,,Iñaki Peña
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,,0,,,,,,,,,,,0,0,,,,Iñaki Peña
,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,22.3,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,21,3,,Iñaki Peña
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,,0,,,,,,,,,,,0,0,,,,Iñaki Peña
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,,0,,,,,,,,,,,0,,,,Matches,Dani Olmo
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,,0,,,,,,,,,,,0,,,,Matches,Dani Olmo
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,20,14,5,10,5,1,13,7.7,12,7,1,6,4,24,6,0,Matches,Dani Olmo
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,23,14,6,13,4,4,23,17.4,19,15,0,15,13,36,21,0,Matches,Dani Olmo
