Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Pedri
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,88.9,9,0,0,43,146,6,81,77,97,1,0,0,517,16,26,38.1,,Pedri
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,4,0,0,18,45,2,47,20,30,0,0,0,165,20,47,29.9,,Pedri
,,,,,,,,,,,,,,,,,,,,,,,,Pedri
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,88.9,9,0,0,43,146,6,81,77,97,1,0,0,517,16,26,38.1,,Pedri
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,4,0,0,18,45,2,47,20,30,0,0,0,165,20,47,29.9,,Pedri
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches,Lamine Yamal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,3,0,0,23,52,4,87,19,37,2,0,0,102,2,11,15.4,Matches,Lamine Yamal
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,13.3,1,0,0,12,31,7,36,9,16,2,0,0,51,0,1,0.0,Matches,Lamine Yamal
3 Seasons,3 Seasons,1 Club,,1 League,,37.9,4,0,0,35,83,11,124,28,53,4,0,0,153,2,13,13.3,,Lamine Yamal
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,0,0,0,4,4,0,6,1,1,0,0,0,13,0,2,0.0,Matches,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,4,0,0,27,29,5,67,12,30,0,0,0,145,19,18,51.4,Matches,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,1,0,0,9,18,4,37,5,11,0,0,0,67,12,13,48.0,Matches,Alejandro Balde
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,12.3,0,0,0,7,27,0,29,5,4,0,0,0,46,7,6,53.8,Matches,Alejandro Balde
4 Seasons,4 Seasons,1 Club,,1 League,,57.2,5,0,0,47,78,9,139,23,46,0,0,0,271,38,39,49.4,,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,,Matches,Marc Casado
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,11.4,4,1,1,17,23,0,5,11,16,0,0,0,56,3,12,20.0,Matches,Marc Casado
3 Seasons,3 Seasons,1 Club,,1 League,,11.5,4,1,1,17,25,0,5,12,17,0,0,0,58,3,12,20.0,,Marc Casado
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,1,0,0,0,1,0,0,0,0,,,0,,,,,Matches,Iñaki Peña
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Iñaki Peña
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,0,0,0,0,1,0,0,0,0,0,0,0,12,4,0,100.0,Matches,Iñaki Peña
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,11.5,1,0,0,0,0,0,0,0,0,0,0,0,46,1,0,100.0,Matches,Iñaki Peña
