Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,165.2,8,106,23,21.7,0.64,0.14,0.08,0.35,13.3,0,0,0,9.2,9.2,0.09,-1.2,-1.2,,Jules Koundé,DF
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,2,23,4,17.4,0.42,0.07,0.09,0.50,15.3,0,0,0,2.3,2.3,0.10,-0.3,-0.3,,Jules Koundé,DF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,0,3,0,0.0,0.17,0.0,0.0,,18.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Pau Cubarsí,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,16.5,0,7,0,0.0,0.42,0.0,0.0,,8.4,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches,Pau Cubarsí,DF
2 Seasons,2 Seasons,1 Club,,1 League,,33.8,0,10,0,0.0,0.3,0.0,0.0,,11.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8,,Pau Cubarsí,DF
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,4,43,14,32.6,1.37,0.45,0.09,0.29,20.7,0,0,0,2.7,2.7,0.06,+1.3,+1.3,Matches,Pedri,MF
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,3,25,8,32.0,0.93,0.30,0.12,0.38,15.9,0,0,0,4.6,4.4,0.18,-1.6,-1.4,Matches,Pedri,MF
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,3,12,5,41.7,1.22,0.51,0.25,0.60,18.6,0,0,0,1.3,1.3,0.11,+1.7,+1.7,Matches,Pedri,MF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,6,22,9,40.9,1.00,0.41,0.27,0.67,15.9,0,0,0,4.9,4.9,0.22,+1.1,+1.1,Matches,Pedri,MF
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,4,15,7,46.7,0.91,0.43,0.27,0.57,14.5,0,0,0,3.1,3.1,0.21,+0.9,+0.9,Matches,Pedri,MF
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,15.8,4,16,8,50.0,1.01,0.51,0.25,0.50,18.5,0,0,0,1.7,1.7,0.11,+2.3,+2.3,Matches,Pedri,MF
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,122.2,24,133,51,38.3,1.09,0.42,0.18,0.47,17.9,0,0,0,18.4,18.1,0.14,+5.6,+5.9,,Pedri,MF
