Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,91,71,6602,73.4,6,1,7,6,0,0,13,1,5.2,5.2,1.2,6.5,114,497,32,0.08,0.01,0.10,0.08,0.10,0.07,0.02,0.09,0.07,0.09,,Eric García
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,15,15,1335,14.8,1,0,1,1,0,0,0,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,,Eric García
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,19,11,1176,13.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,15,75,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,,Eric García
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,31,14,1446,16.1,8,0,8,8,0,0,2,0,7.5,7.5,1.1,8.6,42,76,93,0.5,0.0,0.5,0.5,0.5,0.47,0.07,0.54,0.47,0.54,Matches,Fermin López
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,10,3,308,3.4,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.2,10,15,25,0.0,0.0,0.0,0.0,0.0,0.21,0.13,0.34,0.21,0.34,Matches,Fermin López
2 Seasons,2 Seasons,1 Club,,1 League,,41,17,1754,19.5,8,0,8,8,0,0,4,0,8.2,8.2,1.6,9.8,52,91,118,0.41,0.0,0.41,0.41,0.41,0.42,0.08,0.5,0.42,0.5,,Fermin López
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches,Marc Bernal
1 Season,1 Season,1 Club,,1 League,,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,,Marc Bernal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,7,4,318,3.5,0,2,2,0,0,0,0,0,0.0,0.0,0.8,0.8,3,7,38,0.0,0.57,0.57,0.0,0.57,0.0,0.23,0.23,0.0,0.23,Matches,Héctor Fort
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,9,2,275,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,6,14,14,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.22,0.02,0.22,Matches,Héctor Fort
2 Seasons,2 Seasons,1 Club,,1 League,,16,6,593,6.6,0,2,2,0,0,0,2,0,0.1,0.1,1.4,1.5,9,21,52,0.0,0.3,0.3,0.0,0.3,0.01,0.21,0.23,0.01,0.23,,Héctor Fort
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,34,28,2316,25.7,2,5,7,2,0,0,11,1,3.6,3.6,3.2,6.8,72,115,160,0.08,0.19,0.27,0.08,0.27,0.14,0.12,0.26,0.14,0.26,Matches,Gavi
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,36,30,2531,28.1,2,4,6,2,0,0,10,0,3.2,3.2,3.7,6.9,49,134,153,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24,Matches,Gavi
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,12,10,944,10.5,1,1,2,1,0,0,5,0,0.9,0.9,1.1,2.0,26,39,38,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,Matches,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,8,2,181,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,1,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.36,Matches,Gavi
4 Seasons,4 Seasons,1 Club,,1 League,,90,70,5972,66.4,5,10,15,5,0,0,27,1,7.7,7.7,8.7,16.4,148,300,354,0.08,0.15,0.23,0.08,0.23,0.12,0.13,0.25,0.12,0.25,,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sergi Dominguez
1 Season,1 Season,1 Club,,1 League,,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sergi Dominguez
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,1,0,23,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Frenkie de Jong
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,1,0,21,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Frenkie de Jong
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,15,15,1287,14.3,2,3,5,2,0,0,0,0,,,,,,,,0.14,0.21,0.35,0.14,0.35,,,,,,Matches,Frenkie de Jong
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,31,30,2606,29.0,6,6,12,6,0,0,2,0,,,,,,,,0.21,0.21,0.41,0.21,0.41,,,,,,Matches,Frenkie de Jong
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,4,1,151,1.7,1,0,1,1,0,0,0,0,,,,,,,,0.60,0.00,0.60,0.60,0.60,,,,,,Matches,Frenkie de Jong
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,22,16,1559,17.3,0,7,7,0,0,0,2,0,,,,,,,,0.00,0.40,0.40,0.00,0.40,,,,,,Matches,Frenkie de Jong
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,31,30,2510,27.9,3,3,6,3,0,0,0,0,2.1,2.1,4.4,6.4,169,316,105,0.11,0.11,0.22,0.11,0.22,0.07,0.16,0.23,0.07,0.23,Matches,Frenkie de Jong
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,29,24,2115,23.5,2,2,4,2,0,0,3,1,1.3,1.3,2.4,3.7,77,146,82,0.09,0.09,0.17,0.09,0.17,0.06,0.10,0.16,0.06,0.16,Matches,Frenkie de Jong
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,37,35,3154,35.0,3,4,7,3,0,0,5,0,4.8,4.8,5.8,10.6,95,238,129,0.09,0.11,0.20,0.09,0.20,0.14,0.17,0.30,0.14,0.30,Matches,Frenkie de Jong
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,32,30,2476,27.5,3,3,6,3,0,0,7,1,4.8,4.8,3.4,8.2,78,206,121,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.30,0.18,0.30,Matches,Frenkie de Jong
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,33,29,2534,28.2,2,4,6,2,0,0,3,0,2.4,2.4,4.3,6.7,92,279,83,0.07,0.14,0.21,0.07,0.21,0.09,0.15,0.24,0.09,0.24,Matches,Frenkie de Jong
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69,168,38,0.11,0.00,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,Matches,Frenkie de Jong
2024-2025,27,Barcelona,es ESP,1. La Liga,1st,8,1,235,2.6,1,1,2,1,0,0,1,0,0.2,0.2,1.2,1.5,5,21,6,0.38,0.38,0.77,0.38,0.77,0.10,0.46,0.56,0.10,0.56,Matches,Frenkie de Jong
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,264,231,20305,225.6,25,33,58,25,0,0,30,2,16.4,16.4,23.7,40.0,585,1374,564,0.11,0.15,0.26,0.11,0.26,0.10,0.15,0.25,0.10,0.25,,Frenkie de Jong
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Frenkie de Jong
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,159,139,12148,135.0,13,14,27,13,0,0,26,2,14.3,14.3,19.3,33.6,416,1058,459,0.10,0.10,0.20,0.10,0.20,0.11,0.14,0.25,0.11,0.25,,Frenkie de Jong
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,57,47,4220,46.9,4,10,14,4,0,0,2,0,2.1,2.1,4.4,6.4,169,316,105,0.09,0.21,0.30,0.09,0.30,0.07,0.16,0.23,0.07,0.23,,Frenkie de Jong
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,46,45,3893,43.3,8,9,17,8,0,0,2,0,,,,,,,,0.18,0.21,0.39,0.18,0.39,,,,,,,Frenkie de Jong
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,2,0,44,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Frenkie de Jong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,159,139,12148,135.0,13,14,27,13,0,0,26,2,14.3,14.3,19.3,33.6,416,1058,459,0.10,0.10,0.20,0.10,0.20,0.11,0.14,0.25,0.11,0.25,,Frenkie de Jong
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,59,47,4264,47.4,4,10,14,4,0,0,2,0,2.1,2.1,4.4,6.4,169,316,105,0.08,0.21,0.30,0.08,0.30,0.07,0.16,0.23,0.07,0.23,,Frenkie de Jong
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,46,45,3893,43.3,8,9,17,8,0,0,2,0,,,,,,,,0.18,0.21,0.39,0.18,0.39,,,,,,,Frenkie de Jong
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,Pau Victor Delgado
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,7,0,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,3,9,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches,Pau Victor Delgado
2021-2022,19,Girona,es ESP,2. La Liga 2,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Pau Victor Delgado
2022-2023,20,Girona,es ESP,1. La Liga,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Pau Victor Delgado
2023-2024,21,Barcelona,es ESP,1. La Liga,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Pau Victor Delgado
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,12,1,183,2.0,2,1,3,2,0,0,2,0,1.8,1.8,0.4,2.3,1,4,19,0.98,0.49,1.48,0.98,1.48,0.90,0.20,1.11,0.90,1.11,Matches,Pau Victor Delgado
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,20,1,314,3.5,2,1,3,2,0,0,2,0,2.1,2.1,0.4,2.6,3,9,28,0.57,0.29,0.86,0.57,0.86,0.61,0.13,0.74,0.61,0.74,,Pau Victor Delgado
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Pau Victor Delgado
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,8,0,131,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,5,9,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,,Pau Victor Delgado
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,12,1,183,2.0,2,1,3,2,0,0,2,0,1.8,1.8,0.4,2.3,1,4,19,0.98,0.49,1.48,0.98,1.48,0.90,0.20,1.11,0.90,1.11,,Pau Victor Delgado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,12,1,183,2.0,2,1,3,2,0,0,2,0,1.8,1.8,0.4,2.3,1,4,19,0.98,0.49,1.48,0.98,1.48,0.90,0.20,1.11,0.90,1.11,,Pau Victor Delgado
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,8,0,131,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,5,9,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,,Pau Victor Delgado
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,24,11,1027,11.4,7,1,8,7,0,0,2,1,3.8,3.8,2.1,5.9,77,29,187,0.61,0.09,0.70,0.61,0.70,0.33,0.18,0.52,0.33,0.52,Matches,Ansu Fati
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,7,6,431,4.8,4,0,4,4,0,0,1,0,1.8,1.8,1.7,3.5,32,12,60,0.84,0.00,0.84,0.84,0.84,0.37,0.36,0.73,0.37,0.73,Matches,Ansu Fati
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,10,3,336,3.7,4,0,4,4,0,0,0,0,1.3,1.3,0.4,1.8,20,9,49,1.07,0.00,1.07,1.07,1.07,0.36,0.12,0.47,0.36,0.47,Matches,Ansu Fati
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,36,12,1393,15.5,7,3,10,7,0,0,3,0,9.1,9.1,1.7,10.7,47,48,178,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,Matches,Ansu Fati
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,Matches,Ansu Fati
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6,4,5,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.34,1.34,1.34,Matches,Ansu Fati
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,4,1,127,1.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,4,3,16,0.00,0.00,0.00,0.00,0.00,0.42,0.04,0.46,0.42,0.46,Matches,Ansu Fati
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,103,36,3885,43.2,24,4,28,24,0,0,9,1,20.7,20.7,6.8,27.5,202,133,545,0.56,0.09,0.65,0.56,0.65,0.48,0.16,0.64,0.48,0.64,,Ansu Fati
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Ansu Fati
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,84,33,3364,37.4,22,4,26,22,0,0,7,1,17.3,17.3,6.0,23.3,186,105,495,0.59,0.11,0.70,0.59,0.70,0.46,0.16,0.62,0.46,0.62,,Ansu Fati
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,,Ansu Fati
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,84,33,3364,37.4,22,4,26,22,0,0,7,1,17.3,17.3,6.0,23.3,186,105,495,0.59,0.11,0.70,0.59,0.70,0.46,0.16,0.62,0.46,0.62,,Ansu Fati
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,,Ansu Fati
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Andreas Christensen
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31,31,2790,31.0,3,1,4,3,0,0,1,0,,,,,,,,0.10,0.03,0.13,0.10,0.13,,,,,,Matches,Andreas Christensen
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,31,31,2781,30.9,2,0,2,2,0,0,1,0,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,Matches,Andreas Christensen
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,27,23,2086,23.2,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,22,76,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Andreas Christensen
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,8,6,617,6.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,35,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Andreas Christensen
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,21,21,1751,19.5,0,0,0,0,0,0,5,0,0.5,0.5,0.9,1.4,17,75,1,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches,Andreas Christensen
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,17,15,1371,15.2,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4,7,43,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,Andreas Christensen
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,19,17,1496,16.6,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,14,81,5,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,Andreas Christensen
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,23,22,1760,19.6,1,1,2,1,0,0,2,0,1.0,1.0,0.5,1.5,18,91,5,0.05,0.05,0.10,0.05,0.10,0.05,0.03,0.08,0.05,0.08,Matches,Andreas Christensen
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,30,27,1979,22.0,2,2,4,2,0,0,4,0,1.0,1.0,1.1,2.2,24,117,6,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.10,0.05,0.10,Matches,Andreas Christensen
2024-2025,28,Barcelona,es ESP,1. La Liga,1st,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Andreas Christensen
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,209,193,16671,185.2,8,4,12,8,0,0,19,1,4.1,4.1,3.1,7.3,105,518,21,0.04,0.02,0.06,0.04,0.06,0.03,0.03,0.06,0.03,0.06,,Andreas Christensen
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Andreas Christensen
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,93,82,7334,81.5,0,0,0,0,0,0,10,1,2.1,2.1,1.5,3.6,63,310,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,,Andreas Christensen
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,54,49,3766,41.8,3,3,6,3,0,0,7,0,2.0,2.0,1.7,3.7,42,208,11,0.07,0.07,0.14,0.07,0.14,0.05,0.04,0.09,0.05,0.09,,Andreas Christensen
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,62,62,5571,61.9,5,1,6,5,0,0,2,0,,,,,,,,0.08,0.02,0.10,0.08,0.10,,,,,,,Andreas Christensen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,93,82,7334,81.5,0,0,0,0,0,0,10,1,2.1,2.1,1.5,3.6,63,310,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,,Andreas Christensen
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,54,49,3766,41.8,3,3,6,3,0,0,7,0,2.0,2.0,1.7,3.7,42,208,11,0.07,0.07,0.14,0.07,0.14,0.05,0.04,0.09,0.05,0.09,,Andreas Christensen
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,62,62,5571,61.9,5,1,6,5,0,0,2,0,,,,,,,,0.08,0.02,0.10,0.08,0.10,,,,,,,Andreas Christensen
2021-2022,14,Freiburg U17,de GER,Jr. U17 Bundesliga,7th,15,14,987,11.0,4,,,4,0,0,3,0,0.36,,,0.36,,Matches,Noah Darvich
2022-2023,15,Freiburg U17,de GER,Jr. U17 Bundesliga,28th,8,7,659,7.3,5,,,4,1,1,1,0,0.68,,,0.55,,Matches,Noah Darvich
,,,,,,,,,,,,,,,,,,,,,,,,Noah Darvich
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,Matches,Noah Darvich
1 Season,1 Season,1 Club,,1 League,,0,0,,,,,,,,,,,,,,,,,Noah Darvich
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Noah Darvich
Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),,1 League,,23,21,1646,18.3,9,,,8,1,1,4,0,0.49,,,0.44,,,Noah Darvich
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,Noah Darvich
,,,,,,,,,,,,,,,,,,,,,,,,Noah Darvich
U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),,,,23,21,1646,18.3,9,,,8,1,1,4,0,0.49,,,0.44,,,Noah Darvich
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,0,,,,,,,,,,,,,,,,,Noah Darvich
2009-2010,19,Brentford,eng ENG,3. League One,9th,28,28,2495,27.7,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15,15,1350,15.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38,38,3420,38.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25,25,2250,25.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37,37,3330,37.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,17,17,1498,16.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34,34,3060,34.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38,38,3420,38.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny
2019-2020,29,Juventus,it ITA,1. Serie A,1st,29,29,2591,28.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny
2020-2021,30,Juventus,it ITA,1. Serie A,4th,30,30,2677,29.7,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny
2022-2023,32,Juventus,it ITA,1. Serie A,7th,28,28,2472,27.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny
2024-2025,34,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,432,432,38733,430.4,0,1,1,0,0,0,15,0,0.0,0.0,0.2,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Wojciech Szczęsny
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Wojciech Szczęsny
