Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Player
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Iñaki Peña
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Iñaki Peña
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,11.5,1,0.09,1,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,Iñaki Peña
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,28.3,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0,,Iñaki Peña
,,,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Iñaki Peña
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,22.3,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0,,Iñaki Peña
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,,,,,,,,,,,,,,,,,,Iñaki Peña
,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,22.3,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0,,Iñaki Peña
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,,,,,,,,,,,,,,,,,,Iñaki Peña
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,,,,,,,,,,,,,,,,,Matches,Dani Olmo
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,27,3.25,22,2,0,2,1,0,1,0.12,0,1,0,0,0,0,Matches,Dani Olmo
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,112,4.60,88,0,8,12,3,1,19,0.78,14,0,1,2,1,1,Matches,Dani Olmo
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,32,3.87,22,1,3,1,5,0,6,0.73,5,0,0,0,1,0,Matches,Dani Olmo
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,64,4.50,51,3,4,4,2,0,11,0.77,5,0,2,3,1,0,Matches,Dani Olmo
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,61,3.79,44,0,3,9,3,2,8,0.50,8,0,0,0,0,0,Matches,Dani Olmo
2024-2025,26,Barcelona,es ESP,1. La Liga,1st,5.9,18,3.05,12,0,4,2,0,0,3,0.51,1,0,2,0,0,0,Matches,Dani Olmo
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,137.0,314,4.07,239,6,22,30,14,3,48,0.62,33,1,5,5,3,1,,Dani Olmo
,,,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Dani Olmo
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,,,,,,,,,,,,,,,,,,Dani Olmo
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,296,4.15,227,6,18,28,14,3,45,0.63,32,1,3,5,3,1,,Dani Olmo
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,5.9,18,3.05,12,0,4,2,0,0,3,0.51,1,0,2,0,0,0,,Dani Olmo
,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,,,,,,,,,,,,,,,,,,Dani Olmo
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,296,4.15,227,6,18,28,14,3,45,0.63,32,1,3,5,3,1,,Dani Olmo
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,5.9,18,3.05,12,0,4,2,0,0,3,0.51,1,0,2,0,0,0,,Dani Olmo
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,4,0.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Marc-André ter Stegen
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,6,0.17,4,2,0,0,0,0,3,0.09,1,2,0,0,0,0,Matches,Marc-André ter Stegen
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,5,0.14,4,1,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches,Marc-André ter Stegen
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,4,0.13,2,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Marc-André ter Stegen
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,8,0.23,5,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Marc-André ter Stegen
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,12,0.32,11,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Marc-André ter Stegen
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,8,0.29,7,1,0,0,0,0,2,0.07,1,1,0,0,0,0,Matches,Marc-André ter Stegen
2024-2025,32,Barcelona,es ESP,1. La Liga,1st,5.5,1,0.18,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Marc-André ter Stegen
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,48,0.20,36,11,0,1,0,0,8,0.03,4,4,0,0,0,0,,Marc-André ter Stegen
,,,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Marc-André ter Stegen
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,48,0.20,36,11,0,1,0,0,8,0.03,4,4,0,0,0,0,,Marc-André ter Stegen
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,,,,,,,,,,,,,,,,,,Marc-André ter Stegen
,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen
