Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,,,,,,,0,,,,,,,,,,Iñaki Peña
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,,,,,,,,,,,,,,,,Matches,Dani Olmo
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,,,,,,,,,,,,,,,,Matches,Dani Olmo
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,,,,,,,0,,,,,,,,,Matches,Dani Olmo
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,,,,,,,0,,,,,,,,,Matches,Dani Olmo
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,,,,,,,,,,,,,,,,Matches,Dani Olmo
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,,,,,,,,,,,,,,,,Matches,Dani Olmo
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,361,340,17,4,4,2,17,2,10,8,1,0,262,4,17,Matches,Dani Olmo
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,1256,1225,23,9,5,9,24,7,6,4,0,0,958,8,37,Matches,Dani Olmo
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,353,344,8,2,6,1,9,0,3,1,2,0,273,1,12,Matches,Dani Olmo
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,596,560,29,10,21,6,11,3,10,2,0,0,450,7,23,Matches,Dani Olmo
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,657,639,13,9,9,9,21,4,0,0,0,0,511,5,21,Matches,Dani Olmo
2024-2025,26,Barcelona,es ESP,1. La Liga,1st,5.9,233,219,13,7,6,4,10,0,1,1,0,0,181,1,10,Matches,Dani Olmo
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,137.0,3456,3327,103,41,51,31,92,16,30,16,3,0,2635,26,120,,Dani Olmo
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Dani Olmo
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,,,,,,,0,,,,,,,,,,Dani Olmo
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,3223,3108,90,34,45,27,82,16,29,15,3,0,2454,25,110,,Dani Olmo
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,5.9,233,219,13,7,6,4,10,0,1,1,0,0,181,1,10,,Dani Olmo
,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,,,,,,,0,,,,,,,,,,Dani Olmo
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,3223,3108,90,34,45,27,82,16,29,15,3,0,2454,25,110,,Dani Olmo
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,5.9,233,219,13,7,6,4,10,0,1,1,0,0,181,1,10,,Dani Olmo
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,1304,989,313,51,0,6,0,0,0,0,0,0,1068,2,1,Matches,Marc-André ter Stegen
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,1084,838,245,45,0,3,0,0,0,0,0,0,930,1,0,Matches,Marc-André ter Stegen
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,1431,1166,264,40,1,2,0,0,0,0,0,0,1253,1,1,Matches,Marc-André ter Stegen
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,1043,845,197,36,0,1,0,0,0,0,0,0,925,1,0,Matches,Marc-André ter Stegen
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,1281,1014,263,57,0,2,0,1,0,0,0,0,1113,4,1,Matches,Marc-André ter Stegen
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,1412,1145,267,69,0,6,0,1,0,0,0,0,1193,0,0,Matches,Marc-André ter Stegen
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,1036,818,216,53,0,1,0,0,0,0,0,0,927,2,2,Matches,Marc-André ter Stegen
2024-2025,32,Barcelona,es ESP,1. La Liga,1st,5.5,203,176,27,10,0,0,0,0,0,0,0,0,186,0,0,Matches,Marc-André ter Stegen
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,8794,6991,1792,361,1,21,0,2,0,0,0,0,7595,11,5,,Marc-André ter Stegen
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Marc-André ter Stegen
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,8794,6991,1792,361,1,21,0,2,0,0,0,0,7595,11,5,,Marc-André ter Stegen
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,,,,,,,,,,,,,,,,,Marc-André ter Stegen
,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,286.7,8794,6991,1792,361,1,21,0,2,0,0,0,0,7595,11,5,,Marc-André ter Stegen
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,,,,,,,,,,,,,,,,,Marc-André ter Stegen
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,110,108,1,0,0,1,11,0,1,0,1,0,68,1,5,Matches,Ferrán Torres
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,330,323,6,2,2,2,34,3,0,0,0,0,239,1,13,Matches,Ferrán Torres
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,768,730,30,7,3,3,91,16,4,0,3,0,535,8,15,Matches,Ferrán Torres
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,445,421,23,3,1,1,33,5,11,7,4,0,353,1,9,Matches,Ferrán Torres
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,74,69,5,0,1,0,4,0,0,0,0,0,54,0,4,Matches,Ferrán Torres
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,587,565,19,3,0,4,7,5,2,0,0,0,489,3,12,Matches,Ferrán Torres
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,576,533,41,8,1,3,60,9,21,10,6,0,437,2,15,Matches,Ferrán Torres
