Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Player
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,86.9,6558,628,2648,3643,306,104,6558,42,33,78.6,7,16.7,4330,23642,14406,93,53,8,46,19,4763,38,,Ronald Araújo,DF
Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,Ronald Araújo,DF
2009-2010,19,Brentford,eng ENG,3. League One,9th,27.7,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15.0,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38.0,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25.0,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37.0,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,16.6,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34.0,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38.0,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
