Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2017-2018,19,Wolfsburg,de GER,1. Bundesliga,16th,13,869,67,28.4,9.7,10,,2,3,,3,0.77,10,13,-3,-0.31,+0.06,9.8,13.5,-3.8,-0.41,+0.16,Josip Brekalo,"FW,MF"
2018-2019,20,Wolfsburg,de GER,1. Bundesliga,6th,25,1415,57,46.2,15.7,15,79,6,10,22,7,1.52,25,28,-3,-0.19,-1.01,18.4,23.4,-5.0,-0.32,-0.55,Josip Brekalo,"FW,MF"
2019-2020,21,Wolfsburg,de GER,1. Bundesliga,7th,30,1670,56,54.6,18.6,19,74,3,11,24,4,1.40,28,25,+3,+0.16,+0.23,32.0,23.9,+8.1,+0.44,+0.33,Josip Brekalo,"FW,MF"
2020-2021,22,Wolfsburg,de GER,1. Bundesliga,4th,29,1814,63,59.3,20.2,22,76,4,7,21,2,1.83,35,22,+13,+0.64,-0.15,27.0,24.2,+2.8,+0.14,-0.16,Josip Brekalo,"FW,MF"
2021-2022,23,Torino,it ITA,1. Serie A,10th,32,2286,71,66.8,25.4,26,81,12,6,32,2,1.34,27,26,+1,+0.04,-0.28,30.4,28.3,+2.2,+0.09,-0.52,Josip Brekalo,"FW,MF"
2021-2022,23,Wolfsburg,de GER,1. Bundesliga,12th,1,21,21,0.7,0.2,0,,0,1,21,1,3.00,2,0,+2,+8.57,+8.96,0.7,0.1,+0.5,+2.29,+2.29,Josip Brekalo,"FW,MF"
2022-2023,24,Wolfsburg,de GER,1. Bundesliga,8th,6,271,45,8.9,3.0,3,74,0,3,17,6,1.17,2,5,-3,-1.00,-1.38,2.1,4.5,-2.4,-0.79,-0.87,Josip Brekalo,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,6,229,38,6.7,2.5,1,90,1,5,28,11,1.50,4,1,+3,+1.18,+0.98,5.1,2.0,+3.1,+1.23,+0.99,Josip Brekalo,"FW,MF"
2023-2024,25,Hajduk Split,hr CRO,1. HNL,3rd,14,1088,78,33.6,12.1,12,86,10,2,29,0,1.71,23,11,+12,+0.99,+0.32,,,,,,Josip Brekalo,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,11,652,59,19.1,7.2,8,72,2,3,27,9,1.82,13,11,+2,+0.28,-0.15,7.0,9.5,-2.5,-0.34,-0.54,Josip Brekalo,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,0,,,,,0,,0,0,,2,,,,,,,,,,,,Josip Brekalo,"FW,MF"
2024-2025,26,Kasımpaşa,tr TUR,1. Süper Lig,14th,8,443,55,35.2,4.9,5,80,2,3,14,0,1.13,6,7,-1,-0.20,+0.02,,,,,,Josip Brekalo,"FW,MF"
