Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2023-2024,21,Reims,fr FRA,1. Ligue 1,9th,15.0,651,635,14,8,3,3,13,5,0,0,0,0,534,2,11,Amir Richardson,MF
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,4.0,243,237,6,5,0,1,2,1,0,0,0,0,218,0,3,Amir Richardson,MF
2011-2012,21,Catania,it ITA,1. Serie A,11th,2.0,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2013-2014,23,Avellino,it ITA,2. Serie B,11th,18.0,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2014-2015,24,Catania,it ITA,2. Serie B,22nd,6.0,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2015-2016,25,Salernitana,it ITA,2. Serie B,18th,31.0,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2016-2017,26,Salernitana,it ITA,2. Serie B,10th,21.0,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2017-2018,27,Empoli,it ITA,2. Serie B,1st,3.0,,,,,,,0,,,,,,,,,Pietro Terracciano,GK
2018-2019,28,Empoli,it ITA,1. Serie A,18th,8.0,242,158,81,10,0,0,0,0,0,0,0,0,192,3,0,Pietro Terracciano,GK
2018-2019,28,Fiorentina,it ITA,1. Serie A,16th,2.0,65,45,19,8,0,0,0,0,0,0,0,0,44,1,0,Pietro Terracciano,GK
2019-2020,29,Fiorentina,it ITA,1. Serie A,10th,6.9,208,128,80,21,0,1,0,0,0,0,0,0,146,0,0,Pietro Terracciano,GK
2020-2021,30,Fiorentina,it ITA,1. Serie A,13th,3.0,88,40,48,16,0,0,0,0,0,0,0,0,49,0,0,Pietro Terracciano,GK
2021-2022,31,Fiorentina,it ITA,1. Serie A,7th,31.8,1531,1250,276,106,0,5,0,0,0,0,0,0,1217,5,3,Pietro Terracciano,GK
2022-2023,32,Fiorentina,it ITA,1. Serie A,8th,29.0,1072,796,273,75,0,2,0,0,0,0,0,0,816,3,1,Pietro Terracciano,GK
2023-2024,33,Fiorentina,it ITA,1. Serie A,8th,33.0,1231,970,257,81,0,1,0,0,0,0,0,0,979,4,0,Pietro Terracciano,GK
2024-2025,34,Fiorentina,it ITA,1. Serie A,4th,3.0,89,75,14,3,0,0,0,0,0,0,0,0,70,0,0,Pietro Terracciano,GK
2015-2016,18,Jong PSV,nl NED,2. Eerste Divisie,11th,8.8,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2016-2017,19,Jong PSV,nl NED,2. Eerste Divisie,4th,29.1,,,,,,,0,,,,,,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,Jong PSV,nl NED,2. Eerste Divisie,5th,13.3,,,,,,,0,,,,,,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,PSV Eindhoven,nl NED,1. Eredivisie,1st,2.0,,,,,,,0,,,,,,,,,Albert Guðmundsson,"MF,FW"
2018-2019,21,AZ Alkmaar,nl NED,1. Eredivisie,4th,14.5,516,486,28,6,3,3,23,13,5,0,0,1,401,2,24,Albert Guðmundsson,"MF,FW"
2019-2020,22,Jong AZ,nl NED,2. Eerste Divisie,14th,3.0,,,,,,,12,,,,,,,,,Albert Guðmundsson,"MF,FW"
2019-2020,22,AZ Alkmaar,nl NED,1. Eredivisie,2nd,1.3,50,47,3,1,0,0,5,0,2,0,0,0,37,0,3,Albert Guðmundsson,"MF,FW"
2020-2021,23,AZ Alkmaar,nl NED,1. Eredivisie,3rd,21.8,760,699,60,10,3,0,22,8,9,2,0,0,602,1,24,Albert Guðmundsson,"MF,FW"
2021-2022,24,AZ Alkmaar,nl NED,1. Eredivisie,5th,12.1,441,416,23,4,3,4,18,8,5,0,0,0,349,2,13,Albert Guðmundsson,"MF,FW"
2021-2022,24,Genoa,it ITA,1. Serie A,19th,6.7,239,207,32,8,0,0,41,8,15,5,7,0,155,0,10,Albert Guðmundsson,"MF,FW"
2022-2023,25,Genoa,it ITA,2. Serie B,2nd,30.0,1101,1001,94,22,5,5,94,13,53,17,21,0,858,6,33,Albert Guðmundsson,"MF,FW"
