Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2019-2020,26,Inter,it ITA,1. Serie A,2nd,17.5,22,6,10,8,4,10,24,41.7,14,21,7,14,13,35,41,0,Cristiano Biraghi,DF
2020-2021,27,Fiorentina,it ITA,1. Serie A,13th,31.1,42,23,19,15,8,27,45,60.0,18,23,9,14,27,69,56,3,Cristiano Biraghi,DF
2021-2022,28,Fiorentina,it ITA,1. Serie A,7th,35.0,37,24,17,15,5,22,53,41.5,31,28,10,18,19,56,31,1,Cristiano Biraghi,DF
2022-2023,29,Fiorentina,it ITA,1. Serie A,8th,28.3,65,38,29,29,7,32,65,49.2,33,32,7,25,14,79,42,1,Cristiano Biraghi,DF
2023-2024,30,Fiorentina,it ITA,1. Serie A,8th,26.2,47,28,20,24,3,28,52,53.8,24,30,5,25,14,61,43,0,Cristiano Biraghi,DF
2024-2025,31,Fiorentina,it ITA,1. Serie A,4th,4.8,4,4,1,3,0,2,7,28.6,5,2,0,2,4,8,11,0,Cristiano Biraghi,DF
2018-2019,19,Pescara,it ITA,2. Serie B,4th,6.4,3,2,1,2,0,1,4,25.0,3,4,0,4,2,5,2,0,Riccardo Sottil,"FW,MF"
2018-2019,19,Fiorentina,it ITA,1. Serie A,16th,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Riccardo Sottil,"FW,MF"
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,5.7,6,4,4,2,0,3,10,30.0,7,4,0,4,0,6,0,0,Riccardo Sottil,"FW,MF"
2020-2021,21,Cagliari,it ITA,1. Serie A,16th,13.2,7,3,2,3,2,0,7,0.0,7,4,0,4,5,12,3,0,Riccardo Sottil,"FW,MF"
2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,13.8,9,4,4,4,1,3,9,33.3,6,3,0,3,1,10,2,0,Riccardo Sottil,"FW,MF"
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,9.3,4,3,2,0,2,2,5,40.0,3,2,0,2,0,4,0,0,Riccardo Sottil,"FW,MF"
