Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,5.7,3,0,0,11,26,2,23,0,4,0,0,0,19,1,6,14.3,Riccardo Sottil,"FW,MF"
2020-2021,21,Cagliari,it ITA,1. Serie A,16th,13.2,3,0,0,17,35,1,43,5,3,0,0,0,82,3,12,20.0,Riccardo Sottil,"FW,MF"
2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,13.8,4,1,1,15,40,7,47,1,4,0,0,0,32,7,13,35.0,Riccardo Sottil,"FW,MF"
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,9.3,1,0,0,4,27,6,31,0,3,0,0,0,32,3,5,37.5,Riccardo Sottil,"FW,MF"
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,12.3,1,0,0,8,34,6,46,2,5,0,0,0,44,7,3,70.0,Riccardo Sottil,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,5.0,0,0,0,5,17,1,27,3,1,0,0,0,17,2,4,33.3,Riccardo Sottil,"FW,MF"
2016-2017,20,River Plate,ar ARG,1. Primera Div,2nd,18.9,4,0,0,16,8,0,1,51,20,0,0,0,89,65,25,72.2,Lucas Martínez Quarta,DF
2017-2018,21,River Plate,ar ARG,1. Liga Argentina,8th,9.0,2,0,0,9,3,0,0,17,6,0,0,0,50,36,19,65.5,Lucas Martínez Quarta,DF
2018-2019,22,River Plate,ar ARG,1. Liga Argentina,4th,16.7,4,1,0,20,11,0,2,45,27,0,0,0,106,48,35,57.8,Lucas Martínez Quarta,DF
2019-2020,23,River Plate,ar ARG,1. Liga Argentina,2nd,18.3,8,0,0,36,8,0,1,33,27,0,0,1,145,55,39,58.5,Lucas Martínez Quarta,DF
2020-2021,24,Fiorentina,it ITA,1. Serie A,13th,16.5,4,1,0,23,10,0,5,39,20,0,1,0,107,28,22,56.0,Lucas Martínez Quarta,DF
2021-2022,25,Fiorentina,it ITA,1. Serie A,7th,15.9,8,0,0,30,11,0,1,19,25,0,1,0,121,47,32,59.5,Lucas Martínez Quarta,DF
2022-2023,26,Fiorentina,it ITA,1. Serie A,8th,24.1,6,0,0,21,25,1,4,48,48,0,0,0,167,76,36,67.9,Lucas Martínez Quarta,DF
2023-2024,27,Fiorentina,it ITA,1. Serie A,8th,25.5,9,0,0,41,13,1,5,30,47,0,0,0,141,49,55,47.1,Lucas Martínez Quarta,DF
