Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2016-2017,21,Lazio,it ITA,1. Serie A,5th,11,5,662,7.4,1,1,2,1,0,0,3,1,,,,,,,,0.14,0.14,0.27,0.14,0.27,,,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,13,10,931,10.3,0,0,0,0,0,0,5,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,29,25,2282,25.4,1,4,5,1,0,0,10,2,1.5,1.5,2.3,3.8,49,135,66,0.04,0.16,0.20,0.04,0.20,0.06,0.09,0.15,0.06,0.15,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,12,4,578,6.4,2,1,3,2,0,0,2,0,0.6,0.6,1.5,2.1,13,34,15,0.31,0.16,0.47,0.31,0.47,0.09,0.23,0.33,0.09,0.33,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,21,3,592,6.6,1,0,1,1,0,0,3,0,0.5,0.5,0.7,1.2,12,58,7,0.15,0.00,0.15,0.15,0.15,0.07,0.11,0.18,0.07,0.18,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,19,4,568,6.3,0,0,0,0,0,0,4,0,0.3,0.3,0.3,0.6,12,43,14,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.10,0.05,0.10,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,32,19,1707,19.0,1,2,3,1,0,0,8,0,0.4,0.4,3.2,3.6,9,97,16,0.05,0.11,0.16,0.05,0.16,0.02,0.17,0.19,0.02,0.19,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,29,26,1921,21.3,0,1,1,0,0,0,5,0,0.2,0.2,1.1,1.4,8,83,14,0.00,0.05,0.05,0.00,0.05,0.01,0.05,0.06,0.01,0.06,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,28,15,1361,15.1,1,0,1,1,0,0,8,0,0.4,0.4,0.8,1.1,9,69,7,0.07,0.00,0.07,0.07,0.07,0.02,0.05,0.08,0.02,0.08,Danilo Cataldi,MF
2024-2025,29,Lazio,it ITA,1. Serie A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,9,9,649,7.2,3,0,3,3,0,0,0,0,0.7,0.7,0.2,0.8,9,39,3,0.42,0.00,0.42,0.42,0.42,0.09,0.02,0.11,0.09,0.11,Danilo Cataldi,MF
2018-2019,17,River Plate,ar ARG,1. Liga Argentina,4th,4,1,120,1.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,5,6,13,0.00,0.00,0.00,0.00,0.00,0.55,0.24,0.79,0.55,0.79,Lucas Beltrán,"MF,FW"
2019-2020,18,River Plate,ar ARG,1. Liga Argentina,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucas Beltrán,"MF,FW"
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,32,21,1692,18.8,6,2,8,5,1,1,6,0,3.8,3.0,1.5,4.5,12,49,113,0.32,0.11,0.43,0.27,0.37,0.20,0.08,0.28,0.16,0.24,Lucas Beltrán,"MF,FW"
