Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2016-2017,23,Pescara,it ITA,1. Serie A,20th,33.2,1,28,9,32.1,0.84,0.27,0.00,0.00,,,1,2,,,,,,Cristiano Biraghi,DF
2017-2018,24,Fiorentina,it ITA,1. Serie A,8th,33.1,1,35,6,17.1,1.06,0.18,0.03,0.17,21.8,7,0,0,1.6,1.6,0.05,-0.6,-0.6,Cristiano Biraghi,DF
2018-2019,25,Fiorentina,it ITA,1. Serie A,16th,35.5,1,33,6,18.2,0.93,0.17,0.03,0.17,24.6,8,0,0,1.4,1.4,0.04,-0.4,-0.4,Cristiano Biraghi,DF
2019-2020,26,Inter,it ITA,1. Serie A,2nd,17.5,2,9,5,55.6,0.51,0.29,0.22,0.40,19.6,5,0,0,0.6,0.6,0.06,+1.4,+1.4,Cristiano Biraghi,DF
2020-2021,27,Fiorentina,it ITA,1. Serie A,13th,31.1,1,25,6,24.0,0.80,0.19,0.04,0.17,20.5,7,0,0,1.9,1.9,0.07,-0.9,-0.9,Cristiano Biraghi,DF
2021-2022,28,Fiorentina,it ITA,1. Serie A,7th,35.0,4,36,16,44.4,1.03,0.46,0.08,0.19,25.4,14,1,2,3.1,1.5,0.04,+0.9,+1.5,Cristiano Biraghi,DF
2022-2023,29,Fiorentina,it ITA,1. Serie A,8th,28.3,2,24,5,20.8,0.85,0.18,0.08,0.40,27.4,15,0,1,1.8,1.1,0.04,+0.2,+0.9,Cristiano Biraghi,DF
2023-2024,30,Fiorentina,it ITA,1. Serie A,8th,26.2,2,16,5,31.3,0.61,0.19,0.13,0.40,28.1,7,0,1,1.6,0.8,0.05,+0.4,+1.2,Cristiano Biraghi,DF
2024-2025,31,Fiorentina,it ITA,1. Serie A,4th,4.8,1,5,2,40.0,1.04,0.42,0.20,0.50,26.2,3,0,0,0.2,0.2,0.03,+0.8,+0.8,Cristiano Biraghi,DF
2018-2019,19,Pescara,it ITA,2. Serie B,4th,6.4,1,15,4,26.7,2.33,0.62,0.07,0.25,17.6,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Riccardo Sottil,"FW,MF"
2018-2019,19,Fiorentina,it ITA,1. Serie A,16th,0.2,0,1,0,0.0,4.50,0.00,0.00,,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Riccardo Sottil,"FW,MF"
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,5.7,0,16,8,50.0,2.80,1.40,0.00,0.00,22.3,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Riccardo Sottil,"FW,MF"
2020-2021,21,Cagliari,it ITA,1. Serie A,16th,13.2,2,25,9,36.0,1.90,0.68,0.08,0.22,16.9,0,0,0,1.5,1.5,0.06,+0.5,+0.5,Riccardo Sottil,"FW,MF"
2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,13.8,3,22,10,45.5,1.60,0.73,0.14,0.30,16.2,1,0,0,2.5,2.5,0.11,+0.5,+0.5,Riccardo Sottil,"FW,MF"
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,9.3,0,21,8,38.1,2.27,0.86,0.00,0.00,19.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Riccardo Sottil,"FW,MF"
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,12.3,2,34,13,38.2,2.77,1.06,0.06,0.15,17.0,1,0,0,2.6,2.6,0.08,-0.6,-0.6,Riccardo Sottil,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,5.0,0,13,5,38.5,2.61,1.00,0.00,0.00,20.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Riccardo Sottil,"FW,MF"
2016-2017,20,River Plate,ar ARG,1. Primera Div,2nd,18.9,1,7,2,28.6,0.37,0.11,0.14,0.50,15.9,0,0,0,0.0,0.0,0.00,+1.0,+1.0,Lucas Martínez Quarta,DF
2017-2018,21,River Plate,ar ARG,1. Liga Argentina,8th,9.0,0,2,0,0.0,0.22,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Lucas Martínez Quarta,DF
2018-2019,22,River Plate,ar ARG,1. Liga Argentina,4th,16.7,1,12,6,50.0,0.72,0.36,0.08,0.17,14.1,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Lucas Martínez Quarta,DF
2019-2020,23,River Plate,ar ARG,1. Liga Argentina,2nd,18.3,0,17,6,35.3,0.93,0.33,0.00,0.00,10.2,0,0,0,2.0,2.0,0.13,-2.0,-2.0,Lucas Martínez Quarta,DF
2020-2021,24,Fiorentina,it ITA,1. Serie A,13th,16.5,1,16,4,25.0,0.97,0.24,0.06,0.25,16.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Lucas Martínez Quarta,DF
2021-2022,25,Fiorentina,it ITA,1. Serie A,7th,15.9,1,16,4,25.0,1.01,0.25,0.06,0.25,12.1,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Lucas Martínez Quarta,DF
2022-2023,26,Fiorentina,it ITA,1. Serie A,8th,24.1,1,27,10,37.0,1.12,0.41,0.04,0.10,13.9,0,0,0,2.5,2.5,0.09,-1.5,-1.5,Lucas Martínez Quarta,DF
2023-2024,27,Fiorentina,it ITA,1. Serie A,8th,25.5,5,24,7,29.2,0.94,0.27,0.21,0.71,10.2,0,0,0,2.7,2.7,0.11,+2.3,+2.3,Lucas Martínez Quarta,DF
2024-2025,28,Fiorentina,it ITA,1. Serie A,4th,3.9,1,3,1,33.3,0.77,0.26,0.33,1.00,12.7,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Lucas Martínez Quarta,DF
2014-2015,17,Genoa,it ITA,1. Serie A,6th,1.5,0,,0,,,0.00,,,,,0,0,,,,,,Rolando Mandragora,MF
2015-2016,18,Pescara,it ITA,2. Serie B,4th,20.0,0,,2,,,0.10,,0.00,,,0,0,,,,,,Rolando Mandragora,MF
2016-2017,19,Juventus,it ITA,1. Serie A,1st,0.1,0,1,0,0.0,18.00,0.00,0.00,,,,0,0,,,,,,Rolando Mandragora,MF
2017-2018,20,Crotone,it ITA,1. Serie A,18th,36.0,2,34,9,26.5,0.94,0.25,0.06,0.22,26.1,1,0,0,1.9,1.9,0.06,+0.1,+0.1,Rolando Mandragora,MF
2018-2019,21,Udinese,it ITA,1. Serie A,12th,32.4,3,46,11,23.9,1.42,0.34,0.07,0.27,24.7,3,0,0,1.7,1.7,0.04,+1.3,+1.3,Rolando Mandragora,MF
2019-2020,22,Udinese,it ITA,1. Serie A,13th,22.8,0,55,8,14.5,2.41,0.35,0.00,0.00,21.2,5,0,0,3.6,3.6,0.07,-3.6,-3.6,Rolando Mandragora,MF
2020-2021,23,Udinese,it ITA,1. Serie A,14th,4.4,0,9,4,44.4,2.04,0.90,0.00,0.00,22.9,1,0,0,1.0,1.0,0.11,-1.0,-1.0,Rolando Mandragora,MF
2020-2021,23,Torino,it ITA,1. Serie A,17th,16.9,3,27,8,29.6,1.59,0.47,0.11,0.38,21.0,1,0,0,2.8,2.8,0.11,+0.2,+0.2,Rolando Mandragora,MF
2021-2022,24,Torino,it ITA,1. Serie A,10th,14.7,0,23,5,21.7,1.57,0.34,0.00,0.00,24.5,3,0,0,1.2,1.2,0.05,-1.2,-1.2,Rolando Mandragora,MF
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,21.7,2,37,5,13.5,1.71,0.23,0.05,0.40,22.9,2,0,0,1.5,1.5,0.04,+0.5,+0.5,Rolando Mandragora,MF
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,17.6,3,30,11,36.7,1.70,0.62,0.10,0.27,20.6,1,0,0,3.5,3.5,0.12,-0.5,-0.5,Rolando Mandragora,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,3.4,0,7,3,42.9,2.07,0.89,0.00,0.00,27.2,1,0,0,0.2,0.2,0.02,-0.2,-0.2,Rolando Mandragora,MF
2020-2021,18,Le Havre,fr FRA,2. Ligue 2,12th,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Amir Richardson,MF
2021-2022,19,Le Havre,fr FRA,2. Ligue 2,8th,24.8,0,18,3,16.7,0.73,0.12,0.00,0.00,22.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Amir Richardson,MF
2022-2023,20,Le Havre,fr FRA,2. Ligue 2,1st,26.5,3,33,11,33.3,1.24,0.41,0.09,0.27,15.9,0,0,0,3.4,3.4,0.10,-0.4,-0.4,Amir Richardson,MF
2023-2024,21,Reims,fr FRA,1. Ligue 1,9th,15.0,3,17,8,47.1,1.13,0.53,0.18,0.38,18.8,0,0,0,1.6,1.6,0.10,+1.4,+1.4,Amir Richardson,MF
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,4.0,0,4,2,50.0,1.00,0.50,0.00,0.00,20.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Amir Richardson,MF
