Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,13.8,34,2.47,22,0,4,3,4,1,4,0.29,3,0,0,0,0,1,Riccardo Sottil,"FW,MF"
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,9.3,40,4.32,31,0,2,4,3,0,2,0.22,2,0,0,0,0,0,Riccardo Sottil,"FW,MF"
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,12.3,45,3.67,35,0,4,2,4,0,5,0.41,4,0,1,0,0,0,Riccardo Sottil,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,5.0,20,4.01,12,0,5,1,2,0,2,0.40,2,0,0,0,0,0,Riccardo Sottil,"FW,MF"
2016-2017,20,River Plate,ar ARG,1. Primera Div,2nd,18.9,11,0.58,8,0,0,1,0,2,1,0.05,1,0,0,0,0,0,Lucas Martínez Quarta,DF
2017-2018,21,River Plate,ar ARG,1. Liga Argentina,8th,9.0,6,0.67,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Lucas Martínez Quarta,DF
2018-2019,22,River Plate,ar ARG,1. Liga Argentina,4th,16.7,13,0.78,11,0,1,1,0,0,1,0.06,1,0,0,0,0,0,Lucas Martínez Quarta,DF
2019-2020,23,River Plate,ar ARG,1. Liga Argentina,2nd,18.3,22,1.20,16,0,1,4,1,0,3,0.16,2,0,1,0,0,0,Lucas Martínez Quarta,DF
2020-2021,24,Fiorentina,it ITA,1. Serie A,13th,16.5,17,1.03,15,0,2,0,0,0,2,0.12,2,0,0,0,0,0,Lucas Martínez Quarta,DF
2021-2022,25,Fiorentina,it ITA,1. Serie A,7th,15.9,14,0.88,12,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Lucas Martínez Quarta,DF
2022-2023,26,Fiorentina,it ITA,1. Serie A,8th,24.1,28,1.16,21,2,0,4,0,1,2,0.08,2,0,0,0,0,0,Lucas Martínez Quarta,DF
2023-2024,27,Fiorentina,it ITA,1. Serie A,8th,25.5,39,1.53,31,3,0,4,1,0,5,0.20,4,0,0,1,0,0,Lucas Martínez Quarta,DF
2024-2025,28,Fiorentina,it ITA,1. Serie A,4th,3.9,4,1.03,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Lucas Martínez Quarta,DF
2014-2015,17,Genoa,it ITA,1. Serie A,6th,1.5,,,,,,,,,,,,,,,,,Rolando Mandragora,MF
2015-2016,18,Pescara,it ITA,2. Serie B,4th,20.0,,,,,,,,,,,,,,,,,Rolando Mandragora,MF
2016-2017,19,Juventus,it ITA,1. Serie A,1st,0.1,,,,,,,,,,,,,,,,,Rolando Mandragora,MF
2017-2018,20,Crotone,it ITA,1. Serie A,18th,36.0,56,1.56,44,6,1,1,3,1,8,0.22,8,0,0,0,0,0,Rolando Mandragora,MF
2018-2019,21,Udinese,it ITA,1. Serie A,12th,32.4,60,1.85,42,11,0,2,2,3,4,0.12,3,1,0,0,0,0,Rolando Mandragora,MF
2019-2020,22,Udinese,it ITA,1. Serie A,13th,22.8,68,2.99,50,13,1,2,2,0,4,0.18,4,0,0,0,0,0,Rolando Mandragora,MF
2020-2021,23,Udinese,it ITA,1. Serie A,14th,4.4,7,1.58,7,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Rolando Mandragora,MF
2020-2021,23,Torino,it ITA,1. Serie A,17th,16.9,43,2.54,32,5,0,3,3,0,5,0.30,2,1,0,2,0,0,Rolando Mandragora,MF
2021-2022,24,Torino,it ITA,1. Serie A,10th,14.7,52,3.55,31,18,1,1,1,0,4,0.27,3,1,0,0,0,0,Rolando Mandragora,MF
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,21.7,87,4.02,59,19,0,6,2,1,8,0.37,5,1,0,1,1,0,Rolando Mandragora,MF
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,17.6,35,1.98,23,6,3,3,0,0,8,0.45,5,1,1,1,0,0,Rolando Mandragora,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,3.4,10,2.96,6,1,0,0,2,1,0,0.00,0,0,0,0,0,0,Rolando Mandragora,MF
2020-2021,18,Le Havre,fr FRA,2. Ligue 2,12th,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Amir Richardson,MF
2021-2022,19,Le Havre,fr FRA,2. Ligue 2,8th,24.8,35,1.41,30,0,2,1,2,0,5,0.20,4,0,0,1,0,0,Amir Richardson,MF
