Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2014-2015,18,Swindon Town,eng ENG,3. League One,4th,21.6,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2015-2016,19,Rotherham Utd,eng ENG,2. Championship,21st,6.1,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2015-2016,19,P'borough Utd,eng ENG,3. League One,13th,5.4,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2016-2017,20,Scunthorpe Utd,eng ENG,3. League One,3rd,20.6,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2017-2018,21,Doncaster,eng ENG,3. League One,15th,10.5,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2017-2018,21,Norwich City,eng ENG,Jr. PL2 — Div. 2,7th,1.8,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2018-2019,22,Lincoln City,eng ENG,4. League Two,1st,45.6,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2019-2020,23,Lincoln City,eng ENG,3. League One,16th,26.0,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2019-2020,23,Huddersfield,eng ENG,2. Championship,18th,19.0,1294,47,326,563,420,20,1294,33,21,63.6,12,36.4,628,3351,1928,51,46,4,22,4,713,107,Harry Toffolo,DF
2020-2021,24,Huddersfield,eng ENG,2. Championship,20th,29.7,2092,84,614,848,646,65,2092,40,26,65.0,14,35.0,1059,5787,3155,87,52,13,36,20,1267,222,Harry Toffolo,DF
2021-2022,25,Huddersfield,eng ENG,2. Championship,3rd,39.6,2262,122,712,955,614,68,2262,28,11,39.3,17,60.7,1062,5497,3070,77,51,6,46,22,1258,207,Harry Toffolo,DF
2022-2023,26,Nott'ham Forest,eng ENG,1. Premier League,16th,10.4,498,48,175,179,151,12,498,9,3,33.3,5,55.6,191,721,342,8,6,4,10,6,223,43,Harry Toffolo,DF
2023-2024,27,Nottingham Forest,eng ENG,Jr. PL2,,1.2,,,,,,,,,,,,,,,,,,,,,,,Harry Toffolo,DF
2023-2024,27,Nott'ham Forest,eng ENG,1. Premier League,17th,16.2,745,70,283,296,172,12,745,3,1,33.3,2,66.7,272,966,475,10,7,1,7,5,343,34,Harry Toffolo,DF
2024-2025,28,Nott'ham Forest,eng ENG,1. Premier League,3rd,0.5,44,3,13,10,21,2,44,0,0,,0,,10,21,11,0,0,0,0,0,18,4,Harry Toffolo,DF
2021-2022,15,St. Pauli U17,de GER,Jr. U17 Bundesliga,11th,13.7,,,,,,,,,,,,,,,,,,,,,,,Eric da Silva Moreira,"MF,DF"
2022-2023,16,St. Pauli U19,de GER,Jr. U19 Bundesliga,17th,11.1,,,,,,,,,,,,,,,,,,,,,,,Eric da Silva Moreira,"MF,DF"
2023-2024,17,St. Pauli U19,de GER,Jr. U19 Bundesliga,24th,3.2,,,,,,,,,,,,,,,,,,,,,,,Eric da Silva Moreira,"MF,DF"
2023-2024,17,St. Pauli,de GER,2. 2. Bundesliga,1st,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Eric da Silva Moreira,"MF,DF"
2024-2025,18,Nottingham Forest,eng ENG,Jr. PL2,10th,1.0,,,,,,,,,,,,,,,,,,,,,,,Eric da Silva Moreira,"MF,DF"
2024-2025,18,Nott'ham Forest,eng ENG,1. Premier League,3rd,0.3,13,3,7,4,2,0,13,1,0,0.0,1,100.0,4,26,11,1,0,0,1,0,3,1,Eric da Silva Moreira,"MF,DF"
2018-2019,16,Norwich City,eng ENG,Jr. PL2 — Div. 2,11th,1.0,,,,,,,,,,,,,,,,,,,,,,,Andrew Omobamidele,DF
2019-2020,17,Norwich City,eng ENG,Jr. PL2 — Div. 2,11th,7.9,,,,,,,,,,,,,,,,,,,,,,,Andrew Omobamidele,DF
2020-2021,18,Norwich City,eng ENG,Jr. PL2 — Div. 2,11th,14.5,,,,,,,,,,,,,,,,,,,,,,,Andrew Omobamidele,DF
2020-2021,18,Norwich City,eng ENG,2. Championship,1st,7.9,563,70,338,225,4,3,563,2,2,100.0,0,0.0,367,1786,1013,1,0,0,5,3,395,0,Andrew Omobamidele,DF
2021-2022,19,Norwich City,eng ENG,1. Premier League,20th,4.2,279,27,138,124,18,2,279,0,0,,0,,162,897,465,6,3,0,6,0,162,1,Andrew Omobamidele,DF
2022-2023,20,Norwich City,eng ENG,2. Championship,13th,28.5,2134,226,1068,980,97,14,2134,13,6,46.2,2,15.4,1334,7959,4870,32,18,1,18,6,1449,8,Andrew Omobamidele,DF
2023-2024,21,Norwich City,eng ENG,2. Championship,6th,0.2,31,5,17,14,0,0,31,1,0,0.0,0,0.0,21,106,52,0,0,0,0,0,21,0,Andrew Omobamidele,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,8.7,399,76,222,164,14,5,399,0,0,,0,,217,1082,429,1,0,0,3,0,246,0,Andrew Omobamidele,DF
