Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2020-2021,27,Betis,es ESP,1. La Liga,6th,19.8,4,0,0,21,22,0,42,35,26,0,1,0,132,23,23,50.0,Álex Moreno,DF
2021-2022,28,Betis,es ESP,1. La Liga,5th,26.7,3,1,0,33,38,3,84,34,40,1,0,0,145,24,34,41.4,Álex Moreno,DF
2022-2023,29,Betis,es ESP,1. La Liga,6th,15.0,1,0,0,17,19,1,28,17,22,0,1,0,78,9,18,33.3,Álex Moreno,DF
2022-2023,29,Aston Villa,eng ENG,1. Premier League,7th,14.8,3,0,0,17,11,0,48,7,14,0,0,0,69,9,12,42.9,Álex Moreno,DF
2023-2024,30,Aston Villa,eng ENG,1. Premier League,4th,11.5,2,0,0,11,16,2,37,13,12,0,0,1,40,4,10,28.6,Álex Moreno,DF
2024-2025,31,Nott'ham Forest,eng ENG,1. Premier League,3rd,8.8,2,0,0,11,5,0,13,14,18,0,0,0,39,1,8,11.1,Álex Moreno,DF
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.0,0,0,0,,,,,,,,,0,,,,,Neco Williams,DF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,8.0,1,0,0,,,,,,,,,0,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,8.5,0,0,0,,,,,,,,,0,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,2.6,1,0,0,5,2,0,14,9,3,0,0,0,16,6,3,66.7,Neco Williams,DF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,2.8,1,0,0,3,6,0,24,6,5,0,1,0,16,2,5,28.6,Neco Williams,DF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Neco Williams,DF
2021-2022,20,Fulham,eng ENG,2. Championship,1st,13.2,2,0,0,16,11,1,64,18,19,0,0,0,70,17,16,51.5,Neco Williams,DF
2022-2023,21,Nott'ham Forest,eng ENG,1. Premier League,16th,20.9,7,0,0,33,27,2,89,33,47,1,0,0,127,17,27,38.6,Neco Williams,DF
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,18.2,4,0,0,23,30,4,68,22,40,0,0,0,107,31,20,60.8,Neco Williams,DF
