Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2020-2021,22,Nott'ham Forest,eng ENG,2. Championship,17th,30.2,1058,1343,78.8,19840,5043,407,498,81.7,500,601,83.2,130,173,75.1,2,1.1,0.6,+0.9,15,90,2,0,95,Ryan Yates,MF
2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,40.8,1326,1697,78.1,25158,6753,490,586,83.6,629,749,84.0,161,252,63.9,0,2.2,2.9,-2.2,23,112,10,0,124,Ryan Yates,MF
2022-2023,24,Nott'ham Forest,eng ENG,1. Premier League,16th,20.4,455,592,76.9,7587,1812,204,248,82.3,205,237,86.5,32,61,52.5,2,1.2,0.4,+0.8,7,26,4,1,43,Ryan Yates,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,22.1,658,827,79.6,10590,2717,315,375,84.0,279,324,86.1,37,67,55.2,1,0.8,0.6,+0.2,7,59,10,0,73,Ryan Yates,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.5,444,527,84.3,6295,1303,250,279,89.6,146,166,88.0,20,33,60.6,0,0.7,0.4,-0.7,12,35,3,0,34,Ryan Yates,MF
2018-2019,16,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Anthony Elanga,"FW,MF"
2019-2020,17,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,2nd,4.6,,,,,,,,,,,,,,,0,,,,,,,,,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,1. Premier League,2nd,1.7,41,55,74.5,519,77,31,36,86.1,5,8,62.5,3,4,75.0,0,0.0,0.0,0.0,1,3,0,0,3,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,8th,15.6,,,,,,,,,,,,,,,2,,,,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,6th,8.0,,,,,,,,,,,,,,,2,,,,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,1. Premier League,6th,13.5,340,450,75.6,4282,910,229,265,86.4,71,97,73.2,12,21,57.1,2,2.4,1.2,-0.4,9,11,8,2,18,Anthony Elanga,"FW,MF"
2022-2023,20,Manchester Utd,eng ENG,1. Premier League,3rd,4.7,95,130,73.1,1201,298,65,86,75.6,23,32,71.9,3,3,100.0,1,0.9,1.0,+0.1,6,3,3,0,8,Anthony Elanga,"FW,MF"
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,27.0,498,712,69.9,6655,1569,313,391,80.1,143,211,67.8,15,28,53.6,9,6.7,4.0,+2.3,32,28,24,5,49,Anthony Elanga,"FW,MF"
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,11.6,203,326,62.3,2978,1046,116,142,81.7,54,90,60.0,19,58,32.8,3,1.6,1.7,+1.4,18,11,9,1,19,Anthony Elanga,"FW,MF"
2016-2017,18,Vélez Sarsfield,ar ARG,1. Primera Div,19th,8.0,318,405,78.5,4973,1589,159,182,87.4,96,119,80.7,35,56,62.5,1,0.0,0.0,+1.0,19,30,4,0,32,Nicolás Domínguez,"MF,FW"
2017-2018,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,14th,20.5,875,1101,79.5,14641,4471,397,467,85.0,337,387,87.1,88,136,64.7,2,3.1,2.8,-1.1,25,99,15,3,144,Nicolás Domínguez,"MF,FW"
2018-2019,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,6th,24.4,1175,1416,83.0,19435,5362,545,624,87.3,473,541,87.4,101,149,67.8,2,1.6,1.9,+0.4,21,128,12,0,198,Nicolás Domínguez,"MF,FW"
2019-2020,21,Vélez Sarsfield,ar ARG,1. Liga Argentina,3rd,13.7,595,720,82.6,10418,2913,253,298,84.9,265,302,87.7,60,79,75.9,1,1.3,0.8,-0.3,13,58,9,0,95,Nicolás Domínguez,"MF,FW"
2019-2020,21,Bologna,it ITA,1. Serie A,12th,7.8,337,407,82.8,5621,1595,161,179,89.9,127,147,86.4,33,50,66.0,1,1.1,0.5,-0.1,11,30,8,1,40,Nicolás Domínguez,"MF,FW"
2020-2021,22,Bologna,it ITA,1. Serie A,12th,13.9,614,716,85.8,10181,3198,303,340,89.1,240,275,87.3,48,64,75.0,0,1.7,1.6,-1.7,19,69,11,2,72,Nicolás Domínguez,"MF,FW"
2021-2022,23,Bologna,it ITA,1. Serie A,13th,22.4,994,1203,82.6,16850,5280,484,553,87.5,375,426,88.0,103,154,66.9,3,2.4,1.9,+0.6,27,108,29,4,113,Nicolás Domínguez,"MF,FW"
2022-2023,24,Bologna,it ITA,1. Serie A,9th,25.6,1169,1420,82.3,18139,5084,618,693,89.2,408,483,84.5,85,130,65.4,2,2.9,2.8,-0.9,36,118,25,2,147,Nicolás Domínguez,"MF,FW"
2023-2024,25,Bologna,it ITA,1. Serie A,5th,1.1,83,92,90.2,1276,370,45,49,91.8,36,40,90.0,2,2,100.0,0,0.0,0.1,0.0,1,5,1,0,9,Nicolás Domínguez,"MF,FW"
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,16.6,714,843,84.7,10894,3223,380,424,89.6,254,298,85.2,45,61,73.8,2,1.0,1.3,+1.0,10,61,16,1,91,Nicolás Domínguez,"MF,FW"
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.0,387,453,85.4,5369,1616,235,258,91.1,113,130,86.9,15,25,60.0,0,0.2,0.3,-0.2,3,37,2,0,32,Nicolás Domínguez,"MF,FW"
2013-2014,20,Mallorca,es ESP,2. La Liga 2,17th,20.0,,,,,,,,,,,,,,,1,,,,,,,,,Álex Moreno,DF
2014-2015,21,Rayo Vallecano,es ESP,1. La Liga,11th,5.1,,,,,,,,,,,,,,,0,,,,,,,,,Álex Moreno,DF
