Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,2.8,210,178,30,3,0,0,24,27,0,0,0,0,151,2,10,Neco Williams,DF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,0.1,9,8,1,0,0,0,0,1,0,0,0,0,9,0,0,Neco Williams,DF
2021-2022,20,Fulham,eng ENG,2. Championship,1st,13.2,982,849,129,18,2,14,64,111,0,0,0,0,793,4,23,Neco Williams,DF
2022-2023,21,Nott'ham Forest,eng ENG,1. Premier League,16th,20.9,840,651,182,28,3,7,89,141,13,7,6,0,533,7,38,Neco Williams,DF
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,18.2,785,642,138,18,0,2,68,115,4,0,4,0,519,5,34,Neco Williams,DF
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.1,358,290,66,11,0,0,17,55,0,0,0,0,262,2,13,Neco Williams,DF
2012-2013,17,Southampton,eng ENG,1. Premier League,14th,5.5,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2013-2014,18,Southampton,eng ENG,1. Premier League,8th,17.9,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2014-2015,19,Southampton,eng ENG,1. Premier League,7th,16.4,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2015-2016,20,Southampton,eng ENG,1. Premier League,6th,17.2,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2016-2017,21,Southampton,eng ENG,1. Premier League,8th,20.9,,,,,,,144,,,,,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,1. Premier League,17th,19.1,919,765,149,45,0,4,159,8,93,50,36,1,631,5,24,James Ward-Prowse,MF
2018-2019,23,Southampton,eng ENG,1. Premier League,16th,21.6,892,717,170,43,0,5,145,22,92,58,31,1,613,5,13,James Ward-Prowse,MF
2019-2020,24,Southampton,eng ENG,1. Premier League,11th,38.0,1988,1608,375,87,2,25,267,50,183,96,77,2,1444,5,23,James Ward-Prowse,MF
2020-2021,25,Southampton,eng ENG,1. Premier League,15th,38.0,2712,2361,342,130,1,17,251,18,166,79,79,5,2173,9,25,James Ward-Prowse,MF
2021-2022,26,Southampton,eng ENG,1. Premier League,15th,35.7,2137,1802,330,103,5,15,302,3,212,101,95,4,1657,5,25,James Ward-Prowse,MF
2022-2023,27,Southampton,eng ENG,1. Premier League,20th,37.5,2176,1840,329,148,2,14,241,8,145,62,63,0,1716,7,36,James Ward-Prowse,MF
2023-2024,28,Southampton,eng ENG,2. Championship,4th,1.0,113,102,11,3,0,0,12,0,6,2,3,0,96,0,0,James Ward-Prowse,MF
2023-2024,28,West Ham,eng ENG,1. Premier League,9th,33.3,1672,1422,242,80,2,16,189,3,119,64,53,0,1386,8,19,James Ward-Prowse,MF
2024-2025,29,West Ham,eng ENG,1. Premier League,14th,0.2,15,12,3,1,0,0,3,0,2,2,0,0,11,0,0,James Ward-Prowse,MF
2024-2025,29,Nott'ham Forest,eng ENG,1. Premier League,3rd,4.4,181,156,24,15,0,1,19,0,8,3,5,0,144,1,1,James Ward-Prowse,MF
2022-2023,22,Vitória,pt POR,1. Primeira Liga,6th,17.8,488,448,37,0,5,2,53,35,0,0,0,0,280,3,33,Jota Silva,"FW,MF"
2023-2024,23,Vitória,pt POR,1. Primeira Liga,5th,30.9,716,656,56,1,4,3,70,44,1,1,0,0,425,4,51,Jota Silva,"FW,MF"
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,6.0,126,124,1,0,1,1,14,0,1,0,0,0,76,1,9,Jota Silva,"FW,MF"
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13th,2.9,,,,,,,1,,,,,,,,,Ibrahim Sangaré,MF
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18th,17.6,829,805,23,13,7,10,15,6,0,0,0,0,609,1,18,Ibrahim Sangaré,MF
2018-2019,20,Toulouse,fr FRA,1. Ligue 1,16th,27.4,1539,1497,36,28,11,15,11,7,1,0,0,0,1212,6,22,Ibrahim Sangaré,MF
2019-2020,21,Toulouse,fr FRA,1. Ligue 1,20th,24.2,1300,1258,41,26,5,14,22,13,2,0,2,0,1009,1,19,Ibrahim Sangaré,MF
2020-2021,22,Toulouse,fr FRA,2. Ligue 2,3rd,2.0,159,154,5,4,0,2,4,1,0,0,0,0,122,0,2,Ibrahim Sangaré,MF
2020-2021,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,25.3,1911,1871,37,27,1,13,7,10,0,0,0,0,1635,3,26,Ibrahim Sangaré,MF
2021-2022,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,26.8,2058,2005,49,34,5,9,11,13,0,0,0,0,1766,4,26,Ibrahim Sangaré,MF
2022-2023,24,PSV Eindhoven,nl NED,1. Eredivisie,2nd,25.6,1555,1506,46,35,10,7,15,11,0,0,0,0,1302,3,19,Ibrahim Sangaré,MF
2023-2024,25,PSV Eindhoven,nl NED,1. Eredivisie,1st,2.0,171,165,4,3,3,4,0,1,0,0,0,0,151,2,0,Ibrahim Sangaré,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,11.5,425,414,8,7,3,6,2,1,0,0,0,0,339,3,16,Ibrahim Sangaré,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,2.4,113,107,6,6,0,0,0,0,0,0,0,0,86,0,5,Ibrahim Sangaré,MF
2020-2021,19,Benfica,pt POR,1. Primeira Liga,3rd,1.0,59,55,4,4,0,0,0,0,0,0,0,0,50,0,1,Morato,DF
2021-2022,20,Benfica,pt POR,1. Primeira Liga,3rd,11.2,757,730,25,23,1,3,0,2,0,0,0,0,684,2,5,Morato,DF
2022-2023,21,Benfica,pt POR,1. Primeira Liga,1st,7.2,490,480,8,7,1,1,0,1,0,0,0,0,441,2,2,Morato,DF
