Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2021-2022,21,Wolves,eng ENG,1. Premier League,10th,2,0,9,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,1.40,1.40,Morgan Gibbs-White,MF
2022-2023,22,Wolves,eng ENG,1. Premier League,13th,2,2,180,2.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,4,12,12,0.00,0.00,0.00,0.00,0.00,0.36,0.04,0.40,0.36,0.40,Morgan Gibbs-White,MF
2022-2023,22,Nott'ham Forest,eng ENG,1. Premier League,16th,35,34,2971,33.0,5,8,13,3,2,2,5,0,6.0,4.4,8.2,12.7,69,131,157,0.15,0.24,0.39,0.09,0.33,0.18,0.25,0.43,0.13,0.38,Morgan Gibbs-White,MF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,37,35,3156,35.1,5,10,15,4,1,1,9,0,6.9,6.1,8.4,14.6,80,170,181,0.14,0.29,0.43,0.11,0.40,0.20,0.24,0.44,0.17,0.42,Morgan Gibbs-White,MF
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,15,15,1163,12.9,3,3,6,3,0,0,6,1,2.0,2.0,2.9,4.9,36,69,53,0.23,0.23,0.46,0.23,0.46,0.16,0.22,0.38,0.16,0.38,Morgan Gibbs-White,MF
2019-2020,16,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,6th,9,4,493,5.5,2,2,4,2,0,0,1,0,,,,,,,,0.37,0.37,0.73,0.37,0.73,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,13th,9,9,810,9.0,5,1,6,4,1,2,1,0,,,,,,,,0.56,0.11,0.67,0.44,0.56,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,1. Premier League,12th,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,8th,7,7,527,5.9,5,0,5,2,3,3,0,0,,,,,,,,0.85,0.00,0.85,0.34,0.34,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Bristol Rovers,eng ENG,4. League Two,3rd,21,20,1758,19.5,7,6,13,7,0,0,3,0,,,,,,,,0.36,0.31,0.67,0.36,0.67,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,1. Premier League,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2022-2023,19,Newcastle Utd,eng ENG,1. Premier League,4th,22,3,410,4.6,0,1,1,0,0,0,0,0,1.0,1.0,1.3,2.3,23,24,35,0.00,0.22,0.22,0.00,0.22,0.22,0.28,0.50,0.22,0.50,Elliot Anderson,"MF,FW"
2023-2024,20,Newcastle Utd,eng ENG,1. Premier League,7th,21,10,1027,11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,37,57,70,0.00,0.18,0.18,0.00,0.18,0.13,0.17,0.30,0.13,0.30,Elliot Anderson,"MF,FW"
2024-2025,21,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,14,1132,12.6,0,5,5,0,0,0,4,0,1.0,1.0,2.8,3.7,26,58,51,0.00,0.40,0.40,0.00,0.40,0.08,0.22,0.29,0.08,0.29,Elliot Anderson,"MF,FW"
2016-2017,18,Barrow,eng ENG,5. National League,7th,16,16,1396,15.5,1,2,3,1,0,0,4,0,,,,,,,,0.06,0.13,0.19,0.06,0.19,,,,,,Ryan Yates,MF
2016-2017,18,Shrewsbury,eng ENG,3. League One,18th,12,9,749,8.3,0,0,0,0,0,0,2,2,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Ryan Yates,MF
2017-2018,19,Scunthorpe Utd,eng ENG,3. League One,5th,16,14,1278,14.2,2,1,3,2,0,0,0,0,,,,,,,,0.14,0.07,0.21,0.14,0.21,,,,,,Ryan Yates,MF
2017-2018,19,Notts County,eng ENG,4. League Two,5th,25,25,2227,24.7,3,0,3,3,0,0,2,0,,,,,,,,0.12,0.00,0.12,0.12,0.12,,,,,,Ryan Yates,MF
2018-2019,20,Nott'ham Forest,eng ENG,2. Championship,9th,16,15,1226,13.6,1,0,1,1,0,0,5,0,2.3,2.3,0.4,2.7,7,40,16,0.07,0.00,0.07,0.07,0.07,0.17,0.03,0.20,0.17,0.20,Ryan Yates,MF
2019-2020,21,Nott'ham Forest,eng ENG,2. Championship,7th,27,16,1503,16.7,3,0,3,3,0,0,0,1,3.2,3.2,0.7,3.9,11,29,26,0.18,0.00,0.18,0.18,0.18,0.19,0.04,0.24,0.19,0.24,Ryan Yates,MF
2020-2021,22,Nott'ham Forest,eng ENG,2. Championship,17th,34,31,2717,30.2,2,2,4,2,0,0,3,1,6.1,6.1,1.1,7.2,15,95,39,0.07,0.07,0.13,0.07,0.13,0.20,0.04,0.24,0.20,0.24,Ryan Yates,MF
2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,43,41,3674,40.8,8,0,8,8,0,0,8,0,7.2,7.2,2.2,9.5,29,124,48,0.20,0.00,0.20,0.20,0.20,0.18,0.05,0.23,0.18,0.23,Ryan Yates,MF
2022-2023,24,Nott'ham Forest,eng ENG,1. Premier League,16th,26,21,1837,20.4,0,2,2,0,0,0,5,0,2.3,2.3,1.2,3.4,11,43,27,0.00,0.10,0.10,0.00,0.10,0.11,0.06,0.17,0.11,0.17,Ryan Yates,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,35,21,1992,22.1,1,1,2,1,0,0,6,0,2.6,2.6,0.8,3.5,18,73,37,0.05,0.05,0.09,0.05,0.09,0.12,0.04,0.16,0.12,0.16,Ryan Yates,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,13,1308,14.5,1,0,1,1,0,0,5,0,1.7,1.7,0.7,2.4,12,34,10,0.07,0.00,0.07,0.07,0.07,0.12,0.05,0.17,0.12,0.17,Ryan Yates,MF
2018-2019,16,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,1,0,31,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Anthony Elanga,"FW,MF"
