Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2022-2023,20,Manchester Utd,eng ENG,1. Premier League,3rd,16,426,27,12.5,4.7,5,59,0,11,12,11,2.13,8,2,+6,+1.27,+1.00,9.5,4.7,+4.8,+1.01,+0.63,Anthony Elanga,"FW,MF"
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,36,2433,68,71.1,27.0,25,86,15,11,27,0,0.97,40,47,-7,-0.26,+0.74,39.1,39.7,-0.7,-0.02,+0.21,Anthony Elanga,"FW,MF"
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,19,1047,55,61.2,11.6,13,71,3,6,21,0,1.95,17,12,+5,+0.43,+0.16,16.1,12.9,+3.2,+0.27,+0.23,Anthony Elanga,"FW,MF"
2016-2017,18,Vélez Sarsfield,ar ARG,1. Primera Div,19th,12,716,60,26.5,8.0,7,81,2,5,30,4,1.25,12,11,+1,+0.13,+0.58,0.0,0.0,0.0,0.00,0.00,Nicolás Domínguez,"MF,FW"
2017-2018,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,14th,24,1844,77,75.9,20.5,21,84,15,3,24,3,1.42,24,27,-3,-0.15,-0.45,30.4,24.6,+5.8,+0.28,+0.07,Nicolás Domínguez,"MF,FW"
2018-2019,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,6th,25,2197,88,97.6,24.4,25,88,20,0,,0,1.60,33,23,+10,+0.41,+2.11,33.4,23.8,+9.7,+0.40,+0.62,Nicolás Domínguez,"MF,FW"
2019-2020,21,Vélez Sarsfield,ar ARG,1. Liga Argentina,3rd,14,1232,88,59.5,13.7,14,88,11,0,,0,1.79,16,9,+7,+0.51,-0.13,16.7,14.3,+2.4,+0.17,-0.21,Nicolás Domínguez,"MF,FW"
2019-2020,21,Bologna,it ITA,1. Serie A,12th,16,699,44,20.4,7.8,7,74,1,9,20,4,0.94,8,11,-3,-0.39,-0.06,8.0,10.6,-2.7,-0.34,-0.50,Nicolás Domínguez,"MF,FW"
2020-2021,22,Bologna,it ITA,1. Serie A,12th,28,1255,45,36.7,13.9,15,63,1,13,24,3,1.21,11,20,-9,-0.65,-0.44,15.9,24.5,-8.7,-0.62,-0.65,Nicolás Domínguez,"MF,FW"
2021-2022,23,Bologna,it ITA,1. Serie A,13th,28,2015,72,58.9,22.4,23,81,9,5,29,1,1.39,33,33,0,0.00,+0.70,29.1,28.6,+0.5,+0.02,+0.55,Nicolás Domínguez,"MF,FW"
2022-2023,24,Bologna,it ITA,1. Serie A,9th,31,2300,74,67.3,25.6,26,82,13,5,34,1,1.39,34,31,+3,+0.12,+0.04,31.1,32.0,-0.9,-0.04,+0.28,Nicolás Domínguez,"MF,FW"
