Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2019-2020,16,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,6th,5.5,2,,,,,,,,,,0,0,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,13th,9.0,5,,,,,,,,,,1,2,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,1. Premier League,12th,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,8th,5.9,5,,,,,,,,,,3,3,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Bristol Rovers,eng ENG,4. League Two,3rd,19.5,7,74,21,28.4,3.79,1.08,0.09,0.33,,,0,0,,,,,,Elliot Anderson,"MF,FW"
2022-2023,19,Newcastle Utd,eng ENG,1. Premier League,4th,4.6,0,11,4,36.4,2.41,0.88,0.00,0.00,16.0,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Elliot Anderson,"MF,FW"
2023-2024,20,Newcastle Utd,eng ENG,1. Premier League,7th,11.4,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Elliot Anderson,"MF,FW"
2024-2025,21,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.6,0,20,4,20.0,1.59,0.32,0.00,0.00,19.4,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Elliot Anderson,"MF,FW"
2016-2017,18,Barrow,eng ENG,5. National League,7th,15.5,1,0,2,,0.00,0.13,,0.50,,,0,0,,,,,,Ryan Yates,MF
2016-2017,18,Shrewsbury,eng ENG,3. League One,18th,8.3,0,0,2,,0.00,0.24,,0.00,,,0,0,,,,,,Ryan Yates,MF
2017-2018,19,Scunthorpe Utd,eng ENG,3. League One,5th,14.2,2,0,4,,0.00,0.28,,0.50,,,0,0,,,,,,Ryan Yates,MF
2017-2018,19,Notts County,eng ENG,4. League Two,5th,24.7,3,0,11,,0.00,0.44,,0.27,,,0,0,,,,,,Ryan Yates,MF
2018-2019,20,Nott'ham Forest,eng ENG,2. Championship,9th,13.6,1,11,3,27.3,0.81,0.22,0.09,0.33,10.9,0,0,0,2.3,2.3,0.20,-1.3,-1.3,Ryan Yates,MF
2019-2020,21,Nott'ham Forest,eng ENG,2. Championship,7th,16.7,3,19,4,21.1,1.14,0.24,0.16,0.75,13.1,0,0,0,3.2,3.2,0.17,-0.2,-0.2,Ryan Yates,MF
2020-2021,22,Nott'ham Forest,eng ENG,2. Championship,17th,30.2,2,52,13,25.0,1.72,0.43,0.04,0.15,16.9,0,0,0,6.1,6.1,0.12,-4.1,-4.1,Ryan Yates,MF
