Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2023-2024,25,Bologna,it ITA,1. Serie A,5th,1.1,2,1.78,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,16.6,35,2.11,33,0,0,2,0,0,2,0.12,2,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.0,11,1.10,7,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
2013-2014,20,Mallorca,es ESP,2. La Liga 2,17th,20.0,,,,,,,,,,,,,,,,,Álex Moreno,DF
2014-2015,21,Rayo Vallecano,es ESP,1. La Liga,11th,5.1,,,,,,,,,,,,,,,,,Álex Moreno,DF
2015-2016,22,Elche,es ESP,2. La Liga 2,11th,29.9,,,,,,,,,,,,,,,,,Álex Moreno,DF
2016-2017,23,Rayo Vallecano,es ESP,2. La Liga 2,12th,29.9,,,,,,,,,,,,,,,,,Álex Moreno,DF
2017-2018,24,Rayo Vallecano,es ESP,2. La Liga 2,1st,38.9,71,1.83,47,3,13,4,4,0,5,0.13,4,0,0,1,0,0,Álex Moreno,DF
2018-2019,25,Rayo Vallecano,es ESP,1. La Liga,20th,34.8,77,2.21,61,4,6,3,2,1,6,0.17,6,0,0,0,0,0,Álex Moreno,DF
2019-2020,26,Betis,es ESP,1. La Liga,15th,25.2,61,2.42,43,3,10,4,1,0,5,0.20,3,0,1,1,0,0,Álex Moreno,DF
2020-2021,27,Betis,es ESP,1. La Liga,6th,19.8,35,1.76,27,3,3,0,1,1,4,0.20,3,1,0,0,0,0,Álex Moreno,DF
2021-2022,28,Betis,es ESP,1. La Liga,5th,26.7,56,2.10,40,2,5,4,3,2,9,0.34,5,0,2,1,1,0,Álex Moreno,DF
2022-2023,29,Betis,es ESP,1. La Liga,6th,15.0,20,1.33,13,2,3,2,0,0,4,0.27,3,1,0,0,0,0,Álex Moreno,DF
2022-2023,29,Aston Villa,eng ENG,1. Premier League,7th,14.8,34,2.30,31,0,2,1,0,0,3,0.20,3,0,0,0,0,0,Álex Moreno,DF
2023-2024,30,Aston Villa,eng ENG,1. Premier League,4th,11.5,22,1.92,19,0,2,1,0,0,1,0.09,1,0,0,0,0,0,Álex Moreno,DF
