Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,27.0,33,19,20,6,7,17,36,47.2,19,22,2,20,8,41,20,1,Anthony Elanga,"FW,MF"
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,11.6,9,6,4,4,1,2,7,28.6,5,5,0,5,4,13,18,0,Anthony Elanga,"FW,MF"
2016-2017,18,Vélez Sarsfield,ar ARG,1. Primera Div,19th,8.0,28,20,11,13,4,9,15,60.0,6,17,1,16,9,37,3,0,Nicolás Domínguez,"MF,FW"
2017-2018,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,14th,20.5,69,45,23,38,8,24,46,52.2,22,23,3,20,33,102,32,0,Nicolás Domínguez,"MF,FW"
2018-2019,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,6th,24.4,89,50,32,46,11,32,74,43.2,42,42,2,40,48,137,40,0,Nicolás Domínguez,"MF,FW"
2019-2020,21,Vélez Sarsfield,ar ARG,1. Liga Argentina,3rd,13.7,38,21,14,22,2,15,40,37.5,25,26,5,21,19,57,27,0,Nicolás Domínguez,"MF,FW"
2019-2020,21,Bologna,it ITA,1. Serie A,12th,7.8,21,14,15,5,1,7,18,38.9,11,12,2,10,12,33,7,0,Nicolás Domínguez,"MF,FW"
2020-2021,22,Bologna,it ITA,1. Serie A,12th,13.9,48,28,26,17,5,15,37,40.5,22,26,7,19,24,72,20,0,Nicolás Domínguez,"MF,FW"
2021-2022,23,Bologna,it ITA,1. Serie A,13th,22.4,76,45,36,32,8,32,76,42.1,44,38,9,29,32,108,34,1,Nicolás Domínguez,"MF,FW"
2022-2023,24,Bologna,it ITA,1. Serie A,9th,25.6,79,49,34,33,12,39,76,51.3,37,29,3,26,21,100,29,1,Nicolás Domínguez,"MF,FW"
2023-2024,25,Bologna,it ITA,1. Serie A,5th,1.1,1,0,1,0,0,0,2,0.0,2,3,0,3,0,1,2,0,Nicolás Domínguez,"MF,FW"
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,16.6,63,34,35,27,1,23,48,47.9,25,31,5,26,18,81,24,0,Nicolás Domínguez,"MF,FW"
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.0,34,17,16,13,5,15,31,48.4,16,18,4,14,17,51,19,0,Nicolás Domínguez,"MF,FW"
2013-2014,20,Mallorca,es ESP,2. La Liga 2,17th,20.0,,,,,,,,,,,,,,,,,Álex Moreno,DF
2014-2015,21,Rayo Vallecano,es ESP,1. La Liga,11th,5.1,,,,,,,,,,,,,,,,,Álex Moreno,DF
2015-2016,22,Elche,es ESP,2. La Liga 2,11th,29.9,,,,,,,,,,,,,,,,,Álex Moreno,DF
2016-2017,23,Rayo Vallecano,es ESP,2. La Liga 2,12th,29.9,,0,,,,,,,,,,,0,,,,Álex Moreno,DF
2017-2018,24,Rayo Vallecano,es ESP,2. La Liga 2,1st,38.9,93,67,64,23,6,48,83,57.8,35,35,7,28,72,165,125,2,Álex Moreno,DF
2018-2019,25,Rayo Vallecano,es ESP,1. La Liga,20th,34.8,63,40,41,18,4,29,53,54.7,24,35,9,26,41,104,97,0,Álex Moreno,DF
2019-2020,26,Betis,es ESP,1. La Liga,15th,25.2,37,20,27,8,2,12,32,37.5,20,21,8,13,23,60,47,1,Álex Moreno,DF
2020-2021,27,Betis,es ESP,1. La Liga,6th,19.8,42,26,25,12,5,20,43,46.5,23,18,4,14,35,77,48,0,Álex Moreno,DF
2021-2022,28,Betis,es ESP,1. La Liga,5th,26.7,76,40,53,15,8,33,60,55.0,27,28,6,22,34,110,82,1,Álex Moreno,DF
