Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2020-2021,24,Dortmund,de GER,1. Bundesliga,3rd,14.0,926,911,12,11,5,9,7,0,0,0,0,0,792,3,13,Mahmoud Dahoud,MF
2021-2022,25,Dortmund,de GER,1. Bundesliga,2nd,18.4,1063,1031,28,13,15,12,29,2,13,5,5,0,833,4,24,Mahmoud Dahoud,MF
2022-2023,26,Dortmund,de GER,1. Bundesliga,2nd,3.7,259,253,4,2,1,1,3,0,2,0,2,0,213,2,7,Mahmoud Dahoud,MF
2023-2024,27,Stuttgart,de GER,1. Bundesliga,2nd,2.5,235,229,5,3,1,2,6,0,2,1,1,0,205,1,3,Mahmoud Dahoud,MF
2023-2024,27,Brighton,eng ENG,1. Premier League,11th,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8,Mahmoud Dahoud,MF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,205,198,6,5,2,1,4,0,1,0,1,0,172,1,6,Mahmoud Dahoud,MF
2019-2020,18,Le Havre,fr FRA,2. Ligue 2,6th,19.6,574,536,34,10,5,3,41,12,9,5,3,1,426,4,19,Junior Dina Ebimbe,"MF,FW"
2020-2021,19,Dijon,fr FRA,1. Ligue 1,20th,23.8,800,780,15,8,3,5,27,6,0,0,0,0,634,5,23,Junior Dina Ebimbe,"MF,FW"
2021-2022,20,Paris S-G,fr FRA,1. Ligue 1,1st,3.5,215,214,1,1,0,1,2,0,0,0,0,0,192,0,4,Junior Dina Ebimbe,"MF,FW"
2022-2023,21,Eint Frankfurt,de GER,1. Bundesliga,7th,11.8,505,448,53,3,2,0,8,50,0,0,0,0,366,4,9,Junior Dina Ebimbe,"MF,FW"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,21.7,935,839,93,5,7,5,21,88,0,0,0,0,715,3,27,Junior Dina Ebimbe,"MF,FW"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.1,107,99,8,0,0,1,8,8,0,0,0,0,68,0,1,Junior Dina Ebimbe,"MF,FW"
2018-2019,15,St. Pauli U17,de GER,Jr. U17 Bundesliga,18th,15.7,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U17,de GER,Jr. U17 Bundesliga,25th,4.7,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U19,de GER,Jr. U19 Bundesliga,24th,4.9,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli U19,de GER,Jr. U19 Bundesliga,12th,1.3,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli,de GER,2. 2. Bundesliga,10th,4.4,79,71,8,0,0,0,0,0,0,0,0,0,54,0,0,Igor Matanovic,"FW,MF"
2021-2022,18,St. Pauli,de GER,2. 2. Bundesliga,5th,6.1,102,93,7,0,2,1,1,1,0,0,0,0,63,2,3,Igor Matanovic,"FW,MF"
2022-2023,19,St. Pauli,de GER,2. 2. Bundesliga,5th,6.9,123,116,5,0,1,1,1,0,0,0,0,0,74,2,6,Igor Matanovic,"FW,MF"
2023-2024,20,Karlsruher,de GER,2. 2. Bundesliga,5th,25.8,535,514,17,0,2,0,4,0,0,0,0,0,335,4,19,Igor Matanovic,"FW,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.2,68,63,5,0,1,0,0,0,0,0,0,0,51,0,3,Igor Matanovic,"FW,MF"
2020-2021,14,Nürnberg U17,de GER,Jr. U17 Bundesliga,7th,3.2,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
