Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2020-2021,19,Everton,eng ENG,Jr. PL2 — Div. 1,5th,3.8,,,,,,,,,,,,,,,,,,,,,,,Niels Nkounkou,"DF,MF"
2020-2021,19,Everton,eng ENG,1. Premier League,10th,0.9,58,3,9,32,18,0,58,4,2,50.0,2,50.0,24,211,95,4,2,0,3,1,33,8,Niels Nkounkou,"DF,MF"
2021-2022,20,Standard Liège,be BEL,1. First Division A,14th,17.4,1216,57,439,586,221,17,1216,44,26,59.1,19,43.2,616,4053,2304,45,34,7,23,14,599,62,Niels Nkounkou,"DF,MF"
2022-2023,21,Cardiff City,eng ENG,2. Championship,21st,13.6,889,46,274,412,219,12,889,54,25,46.3,24,44.4,432,3241,1964,51,28,10,26,13,457,28,Niels Nkounkou,"DF,MF"
2022-2023,21,Saint-Étienne,fr FRA,2. Ligue 2,8th,18.7,1068,24,169,488,434,62,1068,96,34,35.4,56,58.3,658,4763,2284,46,37,24,33,17,585,166,Niels Nkounkou,"DF,MF"
2023-2024,22,Saint-Étienne,fr FRA,2. Ligue 2,3rd,1.0,59,1,10,23,26,1,59,4,1,25.0,3,75.0,41,236,80,1,1,1,4,1,38,8,Niels Nkounkou,"DF,MF"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,14.5,1108,49,328,537,270,26,1108,81,46,56.8,34,42.0,588,3658,2088,55,34,13,22,10,607,62,Niels Nkounkou,"DF,MF"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.4,211,13,67,99,51,3,211,12,5,41.7,6,50.0,136,765,413,13,9,1,7,3,133,11,Niels Nkounkou,"DF,MF"
2014-2015,18,Gladbach,de GER,1. Bundesliga,3rd,0.0,,,,,,,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,23.0,,,,,,,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,25.3,,,,,,,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2017-2018,21,Dortmund,de GER,1. Bundesliga,4th,12.7,805,17,110,488,219,23,805,29,17,58.6,12,41.4,459,2950,1628,36,27,2,16,12,584,42,Mahmoud Dahoud,MF
2018-2019,22,Dortmund,de GER,1. Bundesliga,2nd,7.7,533,14,90,340,110,10,533,8,7,87.5,1,12.5,370,1909,902,20,20,2,12,11,395,15,Mahmoud Dahoud,MF
2019-2020,23,Dortmund,de GER,1. Bundesliga,2nd,6.2,567,13,105,354,111,8,567,13,10,76.9,3,23.1,367,1801,815,7,8,0,11,8,455,11,Mahmoud Dahoud,MF
2020-2021,24,Dortmund,de GER,1. Bundesliga,3rd,14.0,1055,24,214,658,202,10,1055,25,22,88.0,3,12.0,630,3567,1506,21,29,4,23,21,761,30,Mahmoud Dahoud,MF
2021-2022,25,Dortmund,de GER,1. Bundesliga,2nd,18.4,1263,43,235,745,296,24,1263,41,26,63.4,15,36.6,711,3499,1624,28,24,6,31,13,877,46,Mahmoud Dahoud,MF
2022-2023,26,Dortmund,de GER,1. Bundesliga,2nd,3.7,302,9,64,183,56,2,302,5,3,60.0,2,40.0,153,736,305,5,6,1,6,4,218,4,Mahmoud Dahoud,MF
2023-2024,27,Stuttgart,de GER,1. Bundesliga,2nd,2.5,261,5,48,157,57,6,261,2,0,0.0,2,100.0,144,548,241,1,5,0,6,3,207,5,Mahmoud Dahoud,MF
2023-2024,27,Brighton,eng ENG,1. Premier League,11th,5.0,368,12,86,225,58,4,368,5,2,40.0,3,60.0,239,951,406,4,3,1,6,5,303,6,Mahmoud Dahoud,MF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,239,7,57,139,44,3,239,3,1,33.3,2,66.7,143,461,195,0,6,0,3,2,174,6,Mahmoud Dahoud,MF
2019-2020,18,Le Havre,fr FRA,2. Ligue 2,6th,19.6,840,12,104,422,338,67,839,71,38,53.5,33,46.5,477,3757,1825,63,45,21,69,30,556,154,Junior Dina Ebimbe,"MF,FW"
