Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2021-2022,29,PSV Eindhoven,nl NED,1. Eredivisie,2nd,24.6,108,4.39,96,1,4,5,2,0,10,0.41,9,0,0,1,0,0,Mario Götze,"MF,FW"
2022-2023,30,Eint Frankfurt,de GER,1. Bundesliga,7th,30.4,101,3.32,79,13,2,5,1,1,14,0.46,12,0,0,2,0,0,Mario Götze,"MF,FW"
2023-2024,31,Eint Frankfurt,de GER,1. Bundesliga,6th,23.0,76,3.31,61,9,1,2,3,0,6,0.26,5,0,0,1,0,0,Mario Götze,"MF,FW"
2024-2025,32,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.2,11,1.79,11,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Mario Götze,"MF,FW"
2022-2023,19,Toulouse,fr FRA,1. Ligue 1,13th,26.0,72,2.77,55,1,5,8,3,0,7,0.27,5,0,0,2,0,0,Fares Chaïbi,"MF,FW"
2023-2024,20,Toulouse,fr FRA,1. Ligue 1,11th,0.6,3,4.66,2,1,0,0,0,0,1,1.55,0,1,0,0,0,0,Fares Chaïbi,"MF,FW"
2023-2024,20,Eint Frankfurt,de GER,1. Bundesliga,6th,21.2,81,3.81,45,29,0,6,1,0,10,0.47,8,0,0,2,0,0,Fares Chaïbi,"MF,FW"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.8,29,4.24,21,4,0,3,0,1,3,0.44,2,1,0,0,0,0,Fares Chaïbi,"MF,FW"
2019-2020,16,Nürnberg U17,de GER,Jr. U17 Bundesliga,22nd,15.5,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2020-2021,17,Nürnberg U19,de GER,Jr. U19 Bundesliga,26th,3.8,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2021-2022,18,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,16.4,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2022-2023,19,Nürnberg,de GER,2. 2. Bundesliga,14th,8.1,24,2.95,16,4,1,2,1,0,1,0.12,1,0,0,0,0,0,Nathaniel Brown,"DF,MF"
2023-2024,20,Nürnberg,de GER,2. 2. Bundesliga,12th,26.7,47,1.76,29,12,0,3,2,1,9,0.34,5,1,0,2,1,0,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.3,19,3.03,12,5,0,0,2,0,5,0.80,4,1,0,0,0,0,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4.5,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kauã Santos,GK
2019-2020,15,Dortmund U17,de GER,Jr. U17 Bundesliga,2nd,18.1,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2020-2021,16,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,3.0,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2021-2022,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,11.7,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.0,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund II,de GER,3. 3. Liga,13th,6.6,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Nnamdi Collins,DF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,4,1.10,3,0,1,0,0,0,2,0.55,1,0,1,0,0,0,Nnamdi Collins,DF
2020-2021,19,Everton,eng ENG,Jr. PL2 — Div. 1,5th,3.8,,,,,,,,,,,,,,,,,Niels Nkounkou,"DF,MF"
