Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2022-2023,19,Toulouse,fr FRA,1. Ligue 1,13th,26.0,742,1018,72.9,11489,3144,398,486,81.9,252,324,77.8,56,121,46.3,5,4.9,4.5,+0.1,30,68,27,5,101,Fares Chaïbi,"MF,FW"
2023-2024,20,Toulouse,fr FRA,1. Ligue 1,11th,0.6,28,40,70.0,472,135,12,14,85.7,10,14,71.4,3,8,37.5,1,0.2,0.2,+0.8,2,3,2,0,5,Fares Chaïbi,"MF,FW"
2023-2024,20,Eint Frankfurt,de GER,1. Bundesliga,6th,21.2,592,922,64.2,10022,3251,303,382,79.3,191,285,67.0,73,180,40.6,4,6.8,6.1,-2.8,51,57,39,10,86,Fares Chaïbi,"MF,FW"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.8,163,255,63.9,2756,1003,89,106,84.0,47,71,66.2,20,58,34.5,0,0.8,1.4,-0.8,14,14,11,4,29,Fares Chaïbi,"MF,FW"
2019-2020,16,Nürnberg U17,de GER,Jr. U17 Bundesliga,22nd,15.5,,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2020-2021,17,Nürnberg U19,de GER,Jr. U19 Bundesliga,26th,3.8,,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2021-2022,18,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,16.4,,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2022-2023,19,Nürnberg,de GER,2. 2. Bundesliga,14th,8.1,326,430,75.8,5047,1975,180,206,87.4,121,150,80.7,18,48,37.5,1,1.1,1.5,-0.1,9,26,7,4,36,Nathaniel Brown,"DF,MF"
2023-2024,20,Nürnberg,de GER,2. 2. Bundesliga,12th,26.7,952,1226,77.7,14692,5535,543,611,88.9,330,411,80.3,60,135,44.4,5,1.7,2.3,+3.3,26,72,19,7,117,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.3,248,305,81.3,3746,1025,148,155,95.5,77,91,84.6,19,37,51.4,3,1.0,1.4,+2.0,11,18,9,3,30,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4.5,117,161,72.7,2625,1830,35,36,97.2,56,56,100.0,26,69,37.7,0,0.0,0.0,0.0,0,1,0,0,1,Kauã Santos,GK
2019-2020,15,Dortmund U17,de GER,Jr. U17 Bundesliga,2nd,18.1,,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
