Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,18.8,1,1,0,25,17,17,18,3,5,1,0,0,44,36,51,41.4,Darwin Núñez,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,22.7,9,0,0,28,15,33,19,3,12,1,0,0,56,34,55,38.2,Darwin Núñez,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.4,5,0,0,19,11,8,1,1,14,0,0,0,27,10,24,29.4,Darwin Núñez,FW
2014-2015,17,Paços,pt POR,1. Primeira Liga,8th,7.1,1,0,,,,,,,,,,,,,,,Diogo Jota,FW
2015-2016,18,Paços,pt POR,1. Primeira Liga,7th,30.6,6,1,,56,,,,,,,,,,,,,Diogo Jota,FW
2016-2017,19,Porto,pt POR,1. Primeira Liga,2nd,16.1,3,0,0,36,0,0,0,0,0,0,0,0,,,,,Diogo Jota,FW
2017-2018,20,Wolves,eng ENG,2. Championship,1st,40.1,9,0,0,71,95,18,53,20,25,2,0,0,,,,,Diogo Jota,FW
2018-2019,21,Wolves,eng ENG,1. Premier League,7th,26.2,11,0,0,42,55,6,36,13,16,0,0,0,138,27,68,28.4,Diogo Jota,FW
2019-2020,22,Wolves,eng ENG,1. Premier League,7th,25.4,4,0,0,42,61,3,38,9,15,0,0,0,123,28,52,35.0,Diogo Jota,FW
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,12.4,2,0,0,25,20,1,18,5,6,0,0,0,53,14,37,27.5,Diogo Jota,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,26.3,3,0,0,41,40,5,21,6,18,2,0,0,100,37,83,30.8,Diogo Jota,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,12.6,2,0,0,19,15,3,8,3,15,1,0,0,60,18,26,40.9,Diogo Jota,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,12.7,3,1,1,27,21,3,9,7,13,2,0,0,48,17,38,30.9,Diogo Jota,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,6.7,1,0,0,10,9,0,7,3,4,1,0,0,23,14,18,43.8,Diogo Jota,FW
2014-2015,17,Charlton Ath,eng ENG,2. Championship,12th,16.5,2,0,,24,,,,,,,,,,,,,Joe Gomez,DF
2015-2016,18,Liverpool,eng ENG,1. Premier League,8th,4.9,3,0,,9,,,,,,,,,,,,,Joe Gomez,DF
2016-2017,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,7.5,1,0,0,,,,,,,,,0,,,,,Joe Gomez,DF
2017-2018,20,Liverpool,eng ENG,1. Premier League,4th,21.1,3,0,0,15,10,1,45,34,45,0,0,0,144,33,30,52.4,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,0.7,0,0,0,,,,,,,,,0,,,,,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,1. Premier League,2nd,11.8,2,0,0,12,9,0,7,14,11,0,0,0,71,24,19,55.8,Joe Gomez,DF
2019-2020,22,Liverpool,eng ENG,1. Premier League,1st,22.3,7,0,0,21,13,0,9,38,16,0,1,0,151,68,49,58.1,Joe Gomez,DF
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,6.6,0,0,0,6,6,0,0,4,2,0,1,0,35,21,18,53.8,Joe Gomez,DF
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,3.7,2,0,0,5,2,0,19,5,6,0,0,0,19,10,6,62.5,Joe Gomez,DF
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,16.3,3,0,0,13,4,1,4,24,21,0,1,0,126,46,38,54.8,Joe Gomez,DF
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,19.8,5,0,0,28,16,0,39,19,31,0,0,0,111,31,10,75.6,Joe Gomez,DF
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Joe Gomez,DF
2015-2016,19,Olympiacos,gr GRE,1. Super League,1st,2.2,1,0,,7,,,,,,,,,,,,,Kostas Tsimikas,DF
2016-2017,20,Olympiacos,gr GRE,1. Super League,1st,0.7,0,0,0,1,0,0,0,0,0,0,0,0,,,,,Kostas Tsimikas,DF
2016-2017,20,Esbjerg,dk DEN,1. Danish Superliga,14th,7.7,3,0,0,8,0,0,0,0,0,0,0,0,,,,,Kostas Tsimikas,DF
