Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,6.3,0,1,0,0.0,0.16,0.00,0.00,,6.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,7.7,1,4,2,50.0,0.52,0.26,0.25,0.50,9.1,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11.0,0,4,0,0.0,0.36,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,17.2,0,11,3,27.3,0.64,0.17,0.00,0.00,9.7,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,17.5,0,11,2,18.2,0.63,0.11,0.00,0.00,11.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.8,1,8,2,25.0,0.68,0.17,0.13,0.50,9.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,0.6,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,10.6,7,0,16,,0.00,1.51,,0.44,,,0,0,,,,,,Cody Gakpo,FW
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,0.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,9.5,10,,,,,,,,,,0,0,,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,4.4,1,11,4,36.4,2.48,0.90,0.09,0.25,15.6,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,16.2,7,38,15,39.5,2.34,0.92,0.18,0.47,18.1,2,0,0,4.8,4.8,0.13,+2.2,+2.2,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,18.5,7,45,16,35.6,2.44,0.87,0.16,0.44,15.8,0,0,0,7.0,7.0,0.16,0.0,0.0,Cody Gakpo,FW
2021-2022,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,21.2,12,79,29,36.7,3.73,1.37,0.14,0.38,17.8,0,1,1,9.7,8.9,0.11,+2.3,+2.1,Cody Gakpo,FW
2022-2023,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,12.5,9,49,24,49.0,3.93,1.93,0.14,0.29,16.1,2,2,2,6.3,4.7,0.10,+2.7,+2.3,Cody Gakpo,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,16.2,7,39,12,30.8,2.41,0.74,0.18,0.58,14.8,0,0,0,6.2,6.2,0.16,+0.8,+0.8,Cody Gakpo,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,18.3,8,66,24,36.4,3.60,1.31,0.12,0.33,15.4,0,0,0,9.0,9.0,0.14,-1.0,-1.0,Cody Gakpo,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.0,6,32,12,37.5,2.91,1.09,0.19,0.50,15.5,0,0,0,3.8,3.8,0.12,+2.2,+2.2,Cody Gakpo,FW
