Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,23.4,1280,1550,82.6,20367,4929,694,777,89.3,441,507,87.0,98,169,58.0,2,5.8,5.1,-3.8,56,98,33,6,152,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,12.6,564,663,85.1,8759,1779,312,349,89.4,178,202,88.1,46,64,71.9,2,2.9,2.6,-0.9,25,41,20,4,57,Dominik Szoboszlai,MF
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,11.1,,,,,,,,,,,,,,,0,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1.0,,,,,,,,,,,,,,,,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,13.6,527,651,81.0,9792,4235,209,239,87.4,264,303,87.1,47,100,47.0,0,0.5,0.4,-0.5,3,39,1,0,51,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,27.0,789,1042,75.7,14644,6121,299,364,82.1,378,466,81.1,92,159,57.9,1,0.4,0.4,+0.6,6,76,5,1,108,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,6.3,305,345,88.4,5244,1747,125,134,93.3,152,168,90.5,20,34,58.8,0,0.1,0.2,-0.1,1,12,4,2,18,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,7.7,480,561,85.6,9065,3046,152,171,88.9,288,317,90.9,34,61,55.7,0,0.0,0.1,0.0,0,27,0,0,29,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11.0,663,754,87.9,12042,5092,237,257,92.2,379,410,92.4,38,67,56.7,0,0.0,0.2,0.0,0,47,5,0,51,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,17.2,988,1135,87.0,17712,6925,374,413,90.6,539,588,91.7,59,109,54.1,0,0.1,0.8,-0.1,1,56,2,0,56,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,17.5,1286,1463,87.9,22733,9043,514,566,90.8,673,718,93.7,81,140,57.9,0,0.4,0.5,-0.4,8,145,8,0,118,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.8,729,806,90.4,13104,4926,271,286,94.8,423,443,95.5,30,64,46.9,1,0.2,0.2,+0.8,3,60,4,0,41,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,0.6,,,,,,,,,,,,,,,0,,,,,,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,10.6,,,,,,,,,,,,,,,0,,,,,,,,,Cody Gakpo,FW
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,0.0,,,,,,,,,,,,,,,0,,,,,,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,9.5,,,,,,,,,,,,,,,4,,,,,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,4.4,103,156,66.0,1407,587,64,80,80.0,25,41,61.0,6,16,37.5,5,4.0,4.0,+1.0,16,6,13,6,19,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,16.2,444,640,69.4,6067,2055,291,360,80.8,89,134,66.4,34,77,44.2,6,4.5,4.8,+1.5,46,27,34,6,64,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,18.5,476,677,70.3,6419,1935,291,361,80.6,128,178,71.9,22,56,39.3,3,4.4,3.1,-1.4,29,45,27,1,74,Cody Gakpo,FW
2021-2022,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,21.2,559,813,68.8,7750,2828,326,395,82.5,135,187,72.2,43,129,33.3,12,10.8,9.5,+1.2,71,35,31,6,74,Cody Gakpo,FW
2022-2023,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,12.5,341,510,66.9,5767,2278,168,207,81.2,104,147,70.7,51,116,44.0,12,6.8,7.2,+5.2,59,26,31,16,50,Cody Gakpo,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,16.2,293,392,74.7,3928,1110,168,208,80.8,91,119,76.5,11,20,55.0,2,2.7,1.9,-0.7,23,33,11,1,50,Cody Gakpo,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,18.3,436,564,77.3,6130,1738,266,315,84.4,136,183,74.3,18,24,75.0,5,2.9,2.7,+2.1,25,43,32,5,83,Cody Gakpo,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.0,258,341,75.7,3732,848,155,180,86.1,78,113,69.0,14,25,56.0,2,2.5,1.8,-0.5,19,15,14,4,27,Cody Gakpo,FW
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37.0,1090,1323,82.4,31865,23250,127,127,100.0,518,525,98.7,443,667,66.4,0,0.0,0.0,0.0,1,15,0,0,0,Alisson,GK
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38.0,1075,1290,83.3,28332,18517,143,148,96.6,625,628,99.5,307,510,60.2,0,0.0,0.0,0.0,0,5,1,0,0,Alisson,GK
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,28.3,820,947,86.6,19608,12630,204,204,100.0,414,424,97.6,199,314,63.4,1,0.3,0.0,+0.7,1,7,0,0,1,Alisson,GK
