Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,12,11,997,11.1,1,0,1,1,0,0,1,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1,1,90,1.0,0,,,0,0,0,1,0,,,,,,,,0.00,,,0.00,,,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,16,14,1228,13.6,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,7,51,3,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,28,27,2431,27.0,1,1,2,1,0,0,7,0,1.7,1.7,0.4,2.0,33,108,5,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.08,0.06,0.08,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,8,6,569,6.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,9,18,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,14,8,695,7.7,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,6,29,1,0.13,0.00,0.13,0.13,0.13,0.09,0.00,0.09,0.09,0.09,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11,11,990,11.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,7,51,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,18,17,1552,17.2,0,0,0,0,0,0,5,0,1.1,1.1,0.1,1.3,7,56,5,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,22,17,1574,17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,118,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,13,12,1064,11.8,1,1,2,1,0,0,4,0,0.8,0.8,0.2,1.0,7,41,1,0.08,0.08,0.17,0.08,0.17,0.07,0.02,0.09,0.07,0.09,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,2,0,53,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,13,11,956,10.6,7,0,7,7,0,0,0,0,,,,,,,,0.66,0.00,0.66,0.66,0.66,,,,,,Cody Gakpo,FW
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,1,0,1,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,11,11,856,9.5,10,4,14,10,0,0,1,0,,,,,,,,1.05,0.42,1.47,1.05,1.47,,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,16,2,399,4.4,1,5,6,1,0,0,0,0,0.9,0.9,4.0,4.9,27,19,65,0.23,1.13,1.35,0.23,1.35,0.20,0.91,1.11,0.20,1.11,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,25,14,1462,16.2,7,6,13,7,0,0,5,0,4.8,4.8,4.5,9.3,73,64,161,0.43,0.37,0.80,0.43,0.80,0.29,0.28,0.57,0.29,0.57,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,23,22,1663,18.5,7,3,10,7,0,0,2,0,7.0,7.0,4.4,11.3,54,74,150,0.38,0.16,0.54,0.38,0.54,0.38,0.24,0.61,0.38,0.61,Cody Gakpo,FW
