Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,11.1,618,4,47,247,336,77,618,65,32,49.2,25,38.5,440,2944,1303,39,31,22,30,37,500,116,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,29.2,1453,10,94,529,858,219,1453,140,67,47.9,57,40.7,1017,7500,3690,137,77,70,69,72,1128,302,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,12.4,541,8,43,205,305,76,541,55,22,40.0,26,47.3,361,2760,1419,51,25,29,26,24,424,111,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,8.0,,,,,,,,,,,,,,,,,,,,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,18.5,,,,,,,,,,,,,,,,,,,,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,8.9,,,,,,,,,,,,,,,,,,,,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,17.1,1185,22,115,560,520,57,1184,40,18,45.0,22,55.0,618,3190,1399,44,37,16,42,27,831,130,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,27.2,1908,28,235,952,750,56,1907,105,53,50.5,41,39.0,1134,6004,2911,75,68,12,57,33,1294,157,Dominik Szoboszlai,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,23.4,1802,36,239,868,718,71,1802,56,24,42.9,27,48.2,1043,5475,2880,75,67,22,27,27,1238,160,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,12.6,768,10,97,391,291,41,768,18,12,66.7,6,33.3,406,2157,1214,38,22,9,15,7,530,50,Dominik Szoboszlai,MF
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,11.1,,,,,,,,,,,,,,,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1.0,,,,,,,,,,,,,,,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,13.6,786,68,367,413,15,6,786,3,1,33.3,2,66.7,444,2486,1425,7,3,0,5,7,490,3,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,27.0,1362,113,588,727,64,22,1362,26,22,84.6,4,15.4,579,4084,2569,33,16,1,19,10,646,5,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,6.3,414,45,204,193,21,3,414,4,3,75.0,1,25.0,245,1500,866,9,6,1,4,1,265,3,Ibrahima Konaté,DF
