Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2017-2018,24,Lazio,it ITA,1. Serie A,5th,32,28,2523,28.0,3,4,7,3,0,0,3,1,3.1,3.1,3.3,6.4,104,67,229,0.11,0.14,0.25,0.11,0.25,0.11,0.12,0.23,0.11,0.23,Adam Marušić,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,26,24,2111,23.5,1,1,2,1,0,0,2,1,1.0,1.0,1.3,2.3,67,59,141,0.04,0.04,0.09,0.04,0.09,0.04,0.05,0.10,0.04,0.10,Adam Marušić,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,15,10,942,10.5,2,1,3,2,0,0,3,0,1.9,1.9,0.6,2.4,11,9,64,0.19,0.10,0.29,0.19,0.29,0.18,0.05,0.23,0.18,0.23,Adam Marušić,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,36,33,2966,33.0,2,3,5,2,0,0,3,0,2.2,2.2,2.2,4.4,53,92,201,0.06,0.09,0.15,0.06,0.15,0.07,0.07,0.13,0.07,0.13,Adam Marušić,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,33,30,2721,30.2,1,0,1,1,0,0,6,1,0.2,0.2,0.5,0.7,52,111,73,0.03,0.00,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.02,Adam Marušić,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,33,31,2760,30.7,0,2,2,0,0,0,8,1,0.7,0.7,1.1,1.8,38,116,43,0.00,0.07,0.07,0.00,0.07,0.02,0.03,0.06,0.02,0.06,Adam Marušić,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,35,118,108,0.03,0.00,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04,Adam Marušić,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,17,9,937,10.4,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.4,6,37,38,0.10,0.00,0.10,0.10,0.10,0.01,0.02,0.03,0.01,0.03,Adam Marušić,DF
2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,24,8,815,9.1,1,0,1,1,0,0,0,0,1.9,1.9,0.2,2.2,18,11,64,0.11,0.00,0.11,0.11,0.11,0.21,0.02,0.24,0.21,0.24,Tijjani Noslin,"FW,MF"
2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,31,18,1609,17.9,5,2,7,5,0,0,3,0,2.9,2.9,3.3,6.2,51,30,109,0.28,0.11,0.39,0.28,0.39,0.16,0.19,0.35,0.16,0.35,Tijjani Noslin,"FW,MF"
