Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2019-2020,26,Lazio,it ITA,1. Serie A,4th,18.6,34,20,24,7,3,18,25,72.0,7,19,9,10,15,49,45,0,Patric,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,17.7,30,16,15,11,4,13,24,54.2,11,13,3,10,18,48,51,1,Patric,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,18.3,21,15,17,4,0,9,20,45.0,11,22,11,11,12,33,44,2,Patric,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,15.7,17,11,12,3,2,11,16,68.8,5,17,12,5,11,28,53,1,Patric,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,17.9,13,8,10,3,0,8,18,44.4,10,15,9,6,6,19,44,0,Patric,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,6.5,7,4,5,2,0,4,8,50.0,4,1,1,0,3,10,18,1,Patric,DF
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,9.6,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2020-2021,19,Sheffield Weds,eng ENG,2. Championship,24th,3.2,4,0,4,0,0,0,1,0.0,1,3,1,2,3,7,0,0,Fisayo Dele-Bashiru,MF
2021-2022,20,Sheffield Weds,eng ENG,3. League One,4th,15.7,,14,,,,,,,,,,,7,,,,Fisayo Dele-Bashiru,MF
2022-2023,21,Sheffield Weds,eng ENG,3. League One,3rd,15.5,,19,,,,,,,,,,,8,,,,Fisayo Dele-Bashiru,MF
2023-2024,22,Hatayspor,tr TUR,1. Süper Lig,15th,33.7,,23,,,,,,,,,,,9,,,,Fisayo Dele-Bashiru,MF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,4.3,5,4,1,2,2,0,0,,0,7,1,6,2,7,2,0,Fisayo Dele-Bashiru,MF
2013-2014,21,Fiorentina,it ITA,1. Serie A,4th,1.7,,,,,,,,,,,,,,,,,Matías Vecino,MF
2013-2014,21,Cagliari,it ITA,1. Serie A,15th,7.6,,,,,,,,,,,,,,,,,Matías Vecino,MF
2014-2015,22,Empoli,it ITA,1. Serie A,15th,33.2,,,,,,,,,,,,,,,,,Matías Vecino,MF
