Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2023-2024,24,Fortuna Sittard,nl NED,1. Eredivisie,10th,11.3,453,11,59,172,234,47,452,39,24,61.5,13,33.3,249,1724,923,34,20,12,35,18,298,78,Tijjani Noslin,"FW,MF"
2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,14.9,526,23,53,198,282,54,526,25,8,32.0,16,64.0,292,1525,721,29,22,13,52,13,364,94,Tijjani Noslin,"FW,MF"
2024-2025,25,Lazio,it ITA,1. Serie A,4th,6.0,226,8,23,100,103,23,226,11,5,45.5,6,54.5,126,765,333,7,8,3,13,6,164,29,Tijjani Noslin,"FW,MF"
2015-2016,22,Lazio,it ITA,1. Serie A,8th,6.5,,,,,,,,,,,,,,,,,,,,,,,Patric,DF
2016-2017,23,Lazio,it ITA,1. Serie A,5th,11.3,,,,,,,,,,,,,,,,,,,,,,,Patric,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,6.6,414,28,162,190,65,4,414,1,1,100.0,0,0.0,245,1156,658,7,3,0,6,0,288,22,Patric,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,12.1,839,41,248,397,196,24,839,7,2,28.6,5,71.4,477,2426,1314,25,19,5,10,5,584,67,Patric,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,18.6,1358,117,518,758,93,4,1358,6,5,83.3,1,16.7,867,4894,2697,16,11,1,6,1,973,12,Patric,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,17.7,1373,104,498,728,154,8,1373,3,1,33.3,2,66.7,872,4487,2204,15,11,1,12,4,977,38,Patric,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,18.3,1569,179,751,795,30,9,1569,2,2,100.0,0,0.0,983,4507,2190,5,3,1,7,1,1233,6,Patric,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,15.7,1181,214,709,469,8,0,1181,3,2,66.7,1,33.3,648,3007,1314,0,0,0,4,0,813,3,Patric,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,17.9,1295,109,593,651,55,7,1295,0,0,,0,,791,3786,2229,3,4,0,4,0,983,12,Patric,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,6.5,431,34,192,225,17,4,431,0,0,,0,,269,1466,759,4,2,0,2,0,313,5,Patric,DF
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,9.6,,,,,,,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2020-2021,19,Sheffield Weds,eng ENG,2. Championship,24th,3.2,102,2,20,44,42,9,102,20,15,75.0,5,25.0,56,445,246,8,5,3,14,8,67,11,Fisayo Dele-Bashiru,MF
2021-2022,20,Sheffield Weds,eng ENG,3. League One,4th,15.7,,,,,,,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2022-2023,21,Sheffield Weds,eng ENG,3. League One,3rd,15.5,,,,,,,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2023-2024,22,Hatayspor,tr TUR,1. Süper Lig,15th,33.7,,,,,,,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,4.3,227,7,34,126,70,14,227,12,8,66.7,2,16.7,129,720,343,11,4,4,9,6,171,29,Fisayo Dele-Bashiru,MF
2013-2014,21,Fiorentina,it ITA,1. Serie A,4th,1.7,,,,,,,,,,,,,,,,,,,,,,,Matías Vecino,MF
2013-2014,21,Cagliari,it ITA,1. Serie A,15th,7.6,,,,,,,,,,,,,,,,,,,,,,,Matías Vecino,MF
2014-2015,22,Empoli,it ITA,1. Serie A,15th,33.2,,,,,,,,,,,,,,,,,,,,,,,Matías Vecino,MF
2015-2016,23,Fiorentina,it ITA,1. Serie A,5th,26.6,,,,,,,,,,,,,,,,,,,,,,,Matías Vecino,MF
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,26.2,,,,,,,,,,,,,,,,,,,,,,,Matías Vecino,MF
2017-2018,25,Inter,it ITA,1. Serie A,4th,23.7,1860,39,289,1255,327,57,1860,28,21,75.0,7,25.0,1252,6384,3467,61,52,9,29,33,1445,62,Matías Vecino,MF
2018-2019,26,Inter,it ITA,1. Serie A,4th,22.4,1409,38,232,822,373,77,1409,27,15,55.6,12,44.4,819,4236,2400,55,48,4,26,14,1010,102,Matías Vecino,MF
2019-2020,27,Inter,it ITA,1. Serie A,2nd,14.2,699,31,153,367,185,49,699,7,5,71.4,2,28.6,352,1810,1023,27,19,3,12,11,474,87,Matías Vecino,MF
2020-2021,28,Inter,it ITA,1. Serie A,1st,3.1,151,6,38,83,30,6,151,2,1,50.0,1,50.0,85,361,190,3,3,1,0,1,115,6,Matías Vecino,MF
2021-2022,29,Inter,it ITA,1. Serie A,2nd,4.2,249,10,54,133,66,15,249,3,1,33.3,2,66.7,131,717,383,10,10,0,1,5,161,14,Matías Vecino,MF
2022-2023,30,Lazio,it ITA,1. Serie A,2nd,18.8,1165,65,278,712,184,25,1165,6,3,50.0,3,50.0,564,2330,1088,22,10,3,18,3,817,17,Matías Vecino,MF
