Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2024-2025,23,Lazio,it ITA,1. Serie A,4th,4.3,190,188,2,2,0,0,5,0,0,0,0,0,170,0,1,Fisayo Dele-Bashiru,MF
2013-2014,21,Fiorentina,it ITA,1. Serie A,4th,1.7,,,,,,,,,,,,,,,,Matías Vecino,MF
2013-2014,21,Cagliari,it ITA,1. Serie A,15th,7.6,,,,,,,,,,,,,,,,Matías Vecino,MF
2014-2015,22,Empoli,it ITA,1. Serie A,15th,33.2,,,,,,,,,,,,,,,,Matías Vecino,MF
2015-2016,23,Fiorentina,it ITA,1. Serie A,5th,26.6,,,,,,,,,,,,,,,,Matías Vecino,MF
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,26.2,,,,,,,19,,,,,,,,,Matías Vecino,MF
2017-2018,25,Inter,it ITA,1. Serie A,4th,23.7,1620,1595,20,18,4,6,16,2,0,0,0,0,1413,5,30,Matías Vecino,MF
2018-2019,26,Inter,it ITA,1. Serie A,4th,22.4,1154,1127,19,12,2,9,37,6,0,0,0,0,918,8,34,Matías Vecino,MF
2019-2020,27,Inter,it ITA,1. Serie A,2nd,14.2,547,537,8,4,0,3,16,4,0,0,0,0,417,2,20,Matías Vecino,MF
2020-2021,28,Inter,it ITA,1. Serie A,1st,3.1,126,124,2,2,0,0,2,0,0,0,0,0,103,0,2,Matías Vecino,MF
2021-2022,29,Inter,it ITA,1. Serie A,2nd,4.2,206,198,6,4,4,2,5,2,0,0,0,0,152,2,5,Matías Vecino,MF
2022-2023,30,Lazio,it ITA,1. Serie A,2nd,18.8,968,962,5,5,2,7,1,0,0,0,0,0,830,1,14,Matías Vecino,MF
2023-2024,31,Lazio,it ITA,1. Serie A,7th,12.8,750,732,12,8,2,3,5,4,0,0,0,0,621,6,12,Matías Vecino,MF
2024-2025,32,Lazio,it ITA,1. Serie A,4th,5.4,229,224,5,5,2,1,1,0,0,0,0,0,187,0,5,Matías Vecino,MF
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,0.2,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,3.9,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,23.2,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,23.6,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,18.0,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,23.0,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,26.1,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,17.3,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2015-2016,28,Chelsea,eng ENG,1. Premier League,10th,22.6,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2016-2017,29,Chelsea,eng ENG,1. Premier League,1st,23.8,,,,,,,72,,,,,,,,,Pedro,"FW,MF"
2017-2018,30,Chelsea,eng ENG,1. Premier League,5th,16.9,705,691,14,6,3,7,46,5,3,3,0,0,555,0,18,Pedro,"FW,MF"
2018-2019,31,Chelsea,eng ENG,1. Premier League,3rd,19.8,1138,1115,17,7,7,12,61,5,5,3,0,1,937,6,28,Pedro,"FW,MF"
2019-2020,32,Chelsea,eng ENG,1. Premier League,4th,7.3,337,332,5,2,4,4,20,2,1,0,1,0,266,0,9,Pedro,"FW,MF"
2020-2021,33,Roma,it ITA,1. Serie A,7th,17.7,616,594,18,10,11,5,35,1,6,3,3,0,479,4,13,Pedro,"FW,MF"
2021-2022,34,Lazio,it ITA,1. Serie A,5th,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,Pedro,"FW,MF"
2022-2023,35,Lazio,it ITA,1. Serie A,2nd,21.1,950,919,26,10,2,10,34,12,3,2,0,0,771,5,18,Pedro,"FW,MF"
2023-2024,36,Lazio,it ITA,1. Serie A,7th,9.1,431,422,8,4,2,2,20,0,4,2,2,0,357,1,7,Pedro,"FW,MF"
2024-2025,37,Lazio,it ITA,1. Serie A,4th,5.2,228,209,19,3,5,2,20,2,11,5,3,0,186,0,6,Pedro,"FW,MF"
2018-2019,19,Roma,it ITA,1. Serie A,6th,1.8,130,107,22,5,0,0,6,17,0,0,0,0,104,1,4,Luca Pellegrini,DF
2018-2019,19,Cagliari,it ITA,1. Serie A,15th,10.4,509,392,116,10,0,6,58,105,1,0,1,0,328,1,29,Luca Pellegrini,DF
2019-2020,20,Cagliari,it ITA,1. Serie A,14th,21.2,1087,879,205,20,0,10,114,184,1,1,0,0,775,3,36,Luca Pellegrini,DF
2020-2021,21,Genoa,it ITA,1. Serie A,11th,7.1,313,258,53,5,1,6,29,48,0,0,0,0,218,2,9,Luca Pellegrini,DF
2021-2022,22,Juventus,it ITA,1. Serie A,4th,12.3,682,564,118,10,1,5,54,93,15,8,6,0,521,0,14,Luca Pellegrini,DF
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,6.2,431,315,113,13,1,7,54,81,19,13,2,0,292,3,23,Luca Pellegrini,DF
2022-2023,23,Lazio,it ITA,1. Serie A,2nd,2.0,168,142,26,1,0,3,15,25,0,0,0,0,137,0,4,Luca Pellegrini,DF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,8.7,515,419,94,6,1,1,28,87,1,0,0,0,372,2,21,Luca Pellegrini,DF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,4.2,233,196,37,6,0,2,28,31,0,0,0,0,170,0,5,Luca Pellegrini,DF
2017-2018,19,Perugia,it ITA,2. Serie B,8th,0.1,,,,,,,,,,,,,,,,Nicolò Casale,DF
2019-2020,21,Venezia,it ITA,2. Serie B,11th,16.2,1113,1047,65,58,0,15,2,7,0,0,0,0,1006,1,3,Nicolò Casale,DF
2020-2021,22,Empoli,it ITA,2. Serie B,1st,20.6,1194,1100,89,41,0,12,22,46,0,0,0,0,1026,5,8,Nicolò Casale,DF
2021-2022,23,Hellas Verona,it ITA,1. Serie A,9th,28.7,1195,1111,80,51,1,2,15,29,0,0,0,0,957,4,15,Nicolò Casale,DF
2022-2023,24,Lazio,it ITA,1. Serie A,2nd,27.1,1616,1535,79,72,2,9,0,3,0,0,0,0,1485,2,8,Nicolò Casale,DF
2023-2024,25,Lazio,it ITA,1. Serie A,7th,17.3,1024,989,35,25,0,2,0,2,0,0,0,0,940,0,8,Nicolò Casale,DF
2024-2025,26,Lazio,it ITA,1. Serie A,4th,1.5,110,110,0,0,0,0,0,0,0,0,0,0,100,0,0,Nicolò Casale,DF
2024-2025,26,Bologna,it ITA,1. Serie A,7th,2.9,149,145,4,3,0,2,0,0,0,0,0,0,128,0,3,Nicolò Casale,DF
2021-2022,17,Rennes,fr FRA,1. Ligue 1,4th,1.0,38,34,4,2,0,0,4,1,1,1,0,0,24,0,1,Loum Tchaouna,"FW,MF"
2022-2023,18,Dijon,fr FRA,2. Ligue 2,18th,18.0,511,467,43,10,3,3,58,5,23,15,7,0,334,1,30,Loum Tchaouna,"FW,MF"
2023-2024,19,Salernitana,it ITA,1. Serie A,20th,23.3,766,717,43,3,1,12,70,10,8,4,1,0,505,6,35,Loum Tchaouna,"FW,MF"
2024-2025,20,Lazio,it ITA,1. Serie A,4th,3.5,159,145,14,0,0,2,25,2,12,10,1,0,112,0,4,Loum Tchaouna,"FW,MF"
2014-2015,17,Bari,it ITA,2. Serie B,10th,0.2,,,,,,,,,,,,,,,,Gaetano Castrovilli,"MF,FW"
2016-2017,19,Bari,it ITA,2. Serie B,12th,1.8,,,,,,,,,,,,,,,,Gaetano Castrovilli,"MF,FW"
2017-2018,20,Cremonese,it ITA,2. Serie B,14th,17.3,,,,,,,0,,,,,,,,,Gaetano Castrovilli,"MF,FW"
2018-2019,21,Cremonese,it ITA,2. Serie B,9th,23.2,709,645,61,15,0,7,67,18,26,7,14,0,471,3,32,Gaetano Castrovilli,"MF,FW"
